Variovorax	Flavobacterium	Actinoplanes	Lentzea	Streptomyces	Pseudoxanthomonas	Rhizobium	Promicromonospora	Nocardioides	g__Podospora	Pseudomonas	Massilia	Umezawaea	Devosia	Galbitalea	Sphingomonas	Mesorhizobium	Herbaspirillum	Caulobacter	Phyllobacterium	Kribbella	Arthrobacter	Shinella	Aeromicrobium	Kineosporia	g__Cladosporium	Chondromyces	Rudaibacter	g__Mycosphaerella	Steroidobacter	g__Nigrospora	Stenotrophomonas	Pantoea	g__Mortierella	Ideonella	Rhodanobacter	Bradyrhizobium	Phycicoccus	Chryseobacterium	Agromyces	Microbacterium	Solirubrobacter	Mycobacterium	Bosea	Altererythrobacter	Aquabacterium	g__Edenia	Curtobacterium	g__Metacordyceps	Dactylosporangium	g__Bipolaris	Haliangium	g__Didymella	Actinosynnema	Reyranella	Peredibacter	Polyangium
Pseudomonas	0.161522928017456	0.276255333385436	0.960240418128624	0.117308065550202	0.751419652325848	0.173938597165066	0.214492332532808	0.533400561272595	0.881036181161853	0.244282294086627	1.0635035875251e-62	0.648577605544963	0.783438459030451	0.550345022915979	0.879114097417844	0.530427816153323	0.629332547501594	0.136619943872778	0.609294756836666	0.453537722917589	0.933202167575064	0.491274571645978	0.550345022915979	0.841745423589662	0.879114097417844	0.667533678134568	0.822879326508305	0.969131160614963	0.569532593475707	0.251181298175152	0.296278007588038	0.147388319581596	0.0800526049602328	0.879114097417844	0.380103544304675	0.706957539557463	0.822879326508305	0.969131160614963	0.569532593475707	0.933202167575064	0.764548403426359	0.933202167575064	0.802768197431411	0.126034102091693	0.312099710594098	0.879114097417844	0.058591389079912	0.158666395402357	0.764548403426359	0.969131160614963	0.852853357103729	0.987809039672843	0.510958181051274	0.879114097417844	0.783438459030451	0.72562516692275	0.706957539557463
Massilia	0.0048620611019646	1.46754618740424e-06	0.00294022702327952	0.00609992331369691	0.000813862111732211	0.00163680331598672	2.27985492064171e-05	7.3209748095298e-06	0.00609992331369691	0.802771731207162	0.533400561272595	1.0635035875251e-62	0.000537689887687722	0.0123941024872159	0.00324916903966054	3.53407950301478e-05	0.00553869990510938	0.088075480565631	0.00324916903966054	0.158666395402357	0.00231865228439081	0.0175417875145346	0.000218229553423261	0.0361640352154969	0.0123941024872159	0.0239288638050739	0.000537689887687722	0.00696480933272788	0.00852549299153956	0.00430453346027947	0.0318824398791883	0.416445039747764	0.550345022915979	0.0361640352154969	0.0146767652280985	0.195572315225109	0.00149785529177092	0.00430453346027947	0.000537689887687722	0.00231865228439081	0.183261255969966	0.0123941024872159	0.058591389079912	0.0800526049602328	0.0800526049602328	0.00231865228439081	0.841745423589662	0.147388319581596	0.0525890110607777	0.00324916903966054	0.00363409046784478	0.0206028235613592	0.00852549299153956	0.36249602467333	0.00430453346027947	0.00324916903966054	0.00696480933272788
Umezawaea	0.0111434467996942	0.000112034506393977	0.000112034506393977	0.0216659233675324	5.4840529985137e-05	0.00754700778106786	0.00054214422483387	1.46754618740424e-06	0.00222003122591684	0.651477342796243	0.700931884910058	7.3209748095298e-06	1.0635035875251e-62	0.0146767652280985	0.000537689887687722	0.000940440154764705	0.00430453346027947	0.0970171046027975	0.00324916903966054	0.183261255969966	0.000218229553423261	0.0239288638050739	0.00324916903966054	0.0239288638050739	0.00149785529177092	0.058591389079912	0.000218229553423261	0.000940440154764705	0.0239288638050739	0.0102764117493146	0.126034102091693	0.687588819068256	0.802768197431411	0.0175417875145346	0.0239288638050739	0.115924125437746	0.000940440154764705	0.000940440154764705	0.00696480933272788	0.000218229553423261	0.380103544304675	0.00231865228439081	0.0318824398791883	0.170744280129452	0.136619943872778	0.000537689887687722	0.915229047183658	0.345260123813093	0.0157030160582187	0.000940440154764705	0.00553869990510938	0.0123941024872159	0.0206028235613592	0.416445039747764	0.000537689887687722	0.000940440154764705	0.000940440154764705
Devosia	0.0425401276844894	0.00294022702327952	0.00609992331369691	0.173938597165066	0.000813862111732211	0.0185731550894602	0.00609992331369691	0.0111434467996942	0.0111434467996942	0.5108853175152	0.425038154892145	0.00222003122591684	0.00294022702327952	1.0635035875251e-62	0.00553869990510938	0.0239288638050739	0.000940440154764705	0.0318824398791883	0.000218229553423261	0.0277145453423666	0.0102764117493146	0.0239288638050739	0.00553869990510938	0.00149785529177092	0.0206028235613592	0.147388319581596	0.0206028235613592	0.0206028235613592	0.0206028235613592	0.0102764117493146	0.0361640352154969	0.764548403426359	0.764548403426359	0.00553869990510938	0.251181298175152	0.0412383748220047	0.00231865228439081	0.00696480933272788	0.0146767652280985	0.0102764117493146	0.569532593475707	0.0206028235613592	0.0175417875145346	0.158666395402357	0.183261255969966	0.00696480933272788	0.783438459030451	0.222566176383523	0.0412383748220047	0.00852549299153956	0.0206028235613592	0.136619943872778	0.0361640352154969	0.706957539557463	0.0102764117493146	0.00430453346027947	0.0123941024872159
Galbitalea	0.0185731550894602	0.000813862111732211	0.000204472406148833	0.073877706888658	9.3074599889559e-08	0.0158005962505716	0.00294022702327952	0.000343612197763281	0.00163680331598672	0.676065175997854	0.828717394697461	0.000204472406148833	7.3209748095298e-06	0.00054214422483387	1.0635035875251e-62	0.00553869990510938	0.00149785529177092	0.0652399829506255	0.000940440154764705	0.106338076512909	0.000537689887687722	0.0361640352154969	0.00696480933272788	0.00430453346027947	0.00231865228439081	0.115924125437746	0.00231865228439081	0.000218229553423261	0.0466066320161955	0.0123941024872159	0.147388319581596	0.764548403426359	0.950743472548098	0.00696480933272788	0.0800526049602328	0.058591389079912	0.000537689887687722	3.53407950301478e-05	0.0146767652280985	0.000537689887687722	0.491274571645978	0.000940440154764705	0.0102764117493146	0.222566176383523	0.126034102091693	0.000940440154764705	0.879114097417844	0.398001972445138	0.00696480933272788	0.00149785529177092	0.00918867853204506	0.0239288638050739	0.0412383748220047	0.380103544304675	0.000537689887687722	0.000218229553423261	0.00149785529177092
Sphingomonas	0.00117353818015547	9.3074599889559e-08	0.00754700778106786	0.00117353818015547	0.00117353818015547	0.00054214422483387	1.46754618740424e-06	1.46754618740424e-06	0.0111434467996942	0.986742911194989	0.404701671270157	9.3074599889559e-08	2.27985492064171e-05	0.00609992331369691	0.00054214422483387	1.0635035875251e-62	0.00852549299153956	0.058591389079912	0.00696480933272788	0.170744280129452	0.00553869990510938	0.0277145453423666	0.000940440154764705	0.0652399829506255	0.0206028235613592	0.0318824398791883	0.00149785529177092	0.0102764117493146	0.0206028235613592	0.00324916903966054	0.0466066320161955	0.312099710594098	0.510958181051274	0.0725760500612489	0.00696480933272788	0.26585729269886	0.00430453346027947	0.00852549299153956	0.00149785529177092	0.00553869990510938	0.195572315225109	0.0206028235613592	0.0725760500612489	0.0466066320161955	0.0652399829506255	0.00553869990510938	0.687588819068256	0.136619943872778	0.0915415010905586	0.00852549299153956	0.00852549299153956	0.0318824398791883	0.0146767652280985	0.328864580620885	0.00553869990510938	0.00430453346027947	0.00852549299153956
Mesorhizobium	0.00609992331369691	0.000813862111732211	0.00381492008255072	0.0897240283170912	2.27985492064171e-05	0.00222003122591684	0.00117353818015547	0.00163680331598672	0.0216659233675324	0.603217610029209	0.5108853175152	0.00054214422483387	0.000343612197763281	2.27985492064171e-05	5.4840529985137e-05	0.00117353818015547	1.0635035875251e-62	0.0175417875145346	0.000940440154764705	0.0206028235613592	0.00430453346027947	0.0652399829506255	0.00324916903966054	0.00852549299153956	0.0102764117493146	0.222566176383523	0.0102764117493146	0.00696480933272788	0.0466066320161955	0.0146767652280985	0.106338076512909	0.648577605544963	0.950743472548098	0.0175417875145346	0.170744280129452	0.0525890110607777	0.000218229553423261	0.00430453346027947	0.0102764117493146	0.00430453346027947	0.491274571645978	0.0102764117493146	0.0239288638050739	0.0800526049602328	0.158666395402357	0.000940440154764705	0.933202167575064	0.380103544304675	0.0412383748220047	0.00324916903966054	0.0318824398791883	0.115924125437746	0.058591389079912	0.589922162114236	0.000940440154764705	0.000218229553423261	0.00149785529177092
Herbaspirillum	0.00163680331598672	0.0111434467996942	0.173938597165066	0.0537177672171674	0.0111434467996942	0.00294022702327952	0.00609992331369691	0.0330412225454377	0.173938597165066	0.676065175997854	0.066688	0.0375883775714094	0.0425401276844894	0.00922195272221601	0.0250966758822518	0.0216659233675324	0.00381492008255072	1.0635035875251e-62	0.0412383748220047	0.0123941024872159	0.147388319581596	0.222566176383523	0.0652399829506255	0.0970171046027975	0.195572315225109	0.491274571645978	0.183261255969966	0.147388319581596	0.328864580620885	0.0277145453423666	0.209252225035496	0.328864580620885	0.764548403426359	0.222566176383523	0.251181298175152	0.28042971527951	0.058591389079912	0.115924125437746	0.115924125437746	0.147388319581596	0.783438459030451	0.183261255969966	0.088075480565631	0.0123941024872159	0.195572315225109	0.0970171046027975	0.648577605544963	0.26585729269886	0.416445039747764	0.158666395402357	0.243079625943142	0.589922162114236	0.28042971527951	0.706957539557463	0.0525890110607777	0.0277145453423666	0.058591389079912
Caulobacter	0.0250966758822518	0.000343612197763281	0.00117353818015547	0.0815528147726023	0.000112034506393977	0.01333014631544	0.00163680331598672	0.00163680331598672	0.00294022702327952	0.55630577510293	0.488776304519243	0.000204472406148833	0.000204472406148833	1.46754618740424e-06	2.27985492064171e-05	0.000813862111732211	2.27985492064171e-05	0.01333014631544	1.0635035875251e-62	0.0652399829506255	0.00324916903966054	0.0102764117493146	0.00231865228439081	0.00149785529177092	0.00696480933272788	0.0800526049602328	0.00553869990510938	0.00553869990510938	0.0123941024872159	0.00324916903966054	0.0361640352154969	0.72562516692275	0.72562516692275	0.00324916903966054	0.106338076512909	0.0466066320161955	0.000940440154764705	0.00149785529177092	0.00696480933272788	0.00324916903966054	0.510958181051274	0.00852549299153956	0.0146767652280985	0.170744280129452	0.106338076512909	0.00324916903966054	0.879114097417844	0.209252225035496	0.0218299624343518	0.00430453346027947	0.00696480933272788	0.0466066320161955	0.0146767652280985	0.569532593475707	0.00430453346027947	0.00149785529177092	0.00553869990510938
Phyllobacterium	0.0250966758822518	0.0599721424772553	0.214492332532808	0.328226511471368	0.0330412225454377	0.0158005962505716	0.0375883775714094	0.0984011766696351	0.328226511471368	0.960240418128624	0.328226511471368	0.0815528147726023	0.0984011766696351	0.00754700778106786	0.0479117261299755	0.0897240283170912	0.0048620611019646	0.00222003122591684	0.0250966758822518	1.0635035875251e-62	0.195572315225109	0.26585729269886	0.0725760500612489	0.0800526049602328	0.251181298175152	0.609294756836666	0.312099710594098	0.236545911011024	0.28042971527951	0.170744280129452	0.209252225035496	0.589922162114236	0.896844531854545	0.170744280129452	0.706957539557463	0.296278007588038	0.0525890110607777	0.158666395402357	0.115924125437746	0.195572315225109	0.764548403426359	0.251181298175152	0.209252225035496	0.0361640352154969	0.47230668546973	0.088075480565631	0.987809039672843	0.510958181051274	0.406847947901623	0.136619943872778	0.236545911011024	0.706957539557463	0.296278007588038	0.969131160614963	0.106338076512909	0.0652399829506255	0.115924125437746
Kribbella	0.0425401276844894	0.00163680331598672	2.27985492064171e-05	0.073877706888658	5.4840529985137e-05	0.0250966758822518	0.0048620611019646	0.000204472406148833	0.00054214422483387	0.533400561272595	0.907363817812816	0.000112034506393977	1.46754618740424e-06	0.00163680331598672	7.3209748095298e-06	0.00054214422483387	0.000343612197763281	0.073877706888658	0.000204472406148833	0.107593187782415	1.0635035875251e-62	0.0361640352154969	0.00696480933272788	0.0123941024872159	0.00149785529177092	0.0652399829506255	0.000218229553423261	0.000940440154764705	0.0277145453423666	0.0239288638050739	0.147388319581596	0.841745423589662	0.86034215698819	0.0102764117493146	0.0652399829506255	0.0800526049602328	0.000537689887687722	0.000218229553423261	0.0146767652280985	2.84664460260885e-59	0.380103544304675	0.000218229553423261	0.0123941024872159	0.28042971527951	0.236545911011024	0.000218229553423261	0.86034215698819	0.380103544304675	0.00430453346027947	3.53407950301478e-05	0.00607899541057237	0.0175417875145346	0.0412383748220047	0.398001972445138	0.000537689887687722	0.000940440154764705	0.00149785529177092
Arthrobacter	0.138333698394492	0.00381492008255072	0.00754700778106786	0.073877706888658	0.0330412225454377	0.0984011766696351	0.0111434467996942	0.00754700778106786	0.00609992331369691	0.627188344776484	0.36546831043867	0.00381492008255072	0.00609992331369691	0.00609992331369691	0.0111434467996942	0.00754700778106786	0.0250966758822518	0.127552869703234	0.00163680331598672	0.161522928017456	0.0111434467996942	1.0635035875251e-62	0.0146767652280985	0.0277145453423666	0.0318824398791883	0.0123941024872159	0.0277145453423666	0.0652399829506255	0.00324916903966054	0.0102764117493146	0.0146767652280985	0.822879326508305	0.380103544304675	0.0102764117493146	0.0725760500612489	0.222566176383523	0.0412383748220047	0.0318824398791883	0.0175417875145346	0.0361640352154969	0.589922162114236	0.0800526049602328	0.136619943872778	0.328864580620885	0.183261255969966	0.0525890110607777	0.896844531854545	0.115924125437746	0.0970171046027975	0.0466066320161955	0.00231865228439081	0.0318824398791883	0.00149785529177092	0.841745423589662	0.088075480565631	0.0725760500612489	0.0800526049602328
Shinella	0.0048620611019646	7.3209748095298e-06	0.00754700778106786	0.0158005962505716	0.00222003122591684	0.000813862111732211	2.27985492064171e-05	0.000204472406148833	0.0216659233675324	0.700931884910058	0.425038154892145	1.46754618740424e-06	0.000204472406148833	0.00054214422483387	0.000813862111732211	2.27985492064171e-05	0.000204472406148833	0.0250966758822518	0.000112034506393977	0.0288827975067328	0.000813862111732211	0.00294022702327952	1.0635035875251e-62	0.0318824398791883	0.0206028235613592	0.0412383748220047	0.00430453346027947	0.0175417875145346	0.00430453346027947	0.00553869990510938	0.0146767652280985	0.416445039747764	0.569532593475707	0.0318824398791883	0.0466066320161955	0.170744280129452	0.00149785529177092	0.0102764117493146	3.53407950301478e-05	0.00696480933272788	0.209252225035496	0.0318824398791883	0.0970171046027975	0.0525890110607777	0.088075480565631	0.00324916903966054	0.86034215698819	0.147388319581596	0.0915415010905586	0.00553869990510938	0.00607899541057237	0.0466066320161955	0.00553869990510938	0.550345022915979	0.00852549299153956	0.00553869990510938	0.0102764117493146
Aeromicrobium	0.149655673420837	0.0185731550894602	0.00294022702327952	0.346593507087334	0.000813862111732211	0.117308065550202	0.0425401276844894	0.0288827975067328	0.00222003122591684	0.579584	0.77699846344389	0.0111434467996942	0.00609992331369691	5.4840529985137e-05	0.000343612197763281	0.0250966758822518	0.00117353818015547	0.0425401276844894	5.4840529985137e-05	0.0330412225454377	0.00222003122591684	0.00754700778106786	0.00922195272221601	1.0635035875251e-62	0.0175417875145346	0.158666395402357	0.0318824398791883	0.0123941024872159	0.0525890110607777	0.0277145453423666	0.0970171046027975	0.987809039672843	0.896844531854545	0.000940440154764705	0.328864580620885	0.0318824398791883	0.00852549299153956	0.00324916903966054	0.058591389079912	0.0123941024872159	0.72562516692275	0.0102764117493146	0.00696480933272788	0.434681707411769	0.222566176383523	0.0175417875145346	0.589922162114236	0.328864580620885	0.00918867853204506	0.0146767652280985	0.0187200432174319	0.088075480565631	0.0652399829506255	0.589922162114236	0.0206028235613592	0.0102764117493146	0.0277145453423666
Kineosporia	0.073877706888658	0.00609992331369691	9.3074599889559e-08	0.149655673420837	0.000343612197763281	0.0599721424772553	0.0158005962505716	0.00117353818015547	0.0048620611019646	0.404701671270157	0.828717394697461	0.00222003122591684	5.4840529985137e-05	0.0048620611019646	0.000112034506393977	0.0048620611019646	0.00163680331598672	0.107593187782415	0.000813862111732211	0.149655673420837	5.4840529985137e-05	0.00922195272221601	0.0048620611019646	0.00381492008255072	1.0635035875251e-62	0.170744280129452	0.00430453346027947	0.000940440154764705	0.0361640352154969	0.0412383748220047	0.26585729269886	0.969131160614963	0.987809039672843	0.00430453346027947	0.0970171046027975	0.0239288638050739	0.00553869990510938	0.00324916903966054	0.0361640352154969	0.00149785529177092	0.667533678134568	0.00324916903966054	0.0466066320161955	0.453537722917589	0.195572315225109	0.00231865228439081	0.987809039672843	0.667533678134568	0.00553869990510938	0.00324916903966054	0.0187200432174319	0.00852549299153956	0.0318824398791883	0.589922162114236	0.00231865228439081	0.00553869990510938	0.000940440154764705
g__Cladosporium	0.200422686711942	0.01333014631544	0.0537177672171674	0.0216659233675324	0.117308065550202	0.138333698394492	0.0250966758822518	0.0158005962505716	0.0048620611019646	0.828717394697461	0.55630577510293	0.00609992331369691	0.0216659233675324	0.073877706888658	0.0537177672171674	0.00922195272221601	0.127552869703234	0.36546831043867	0.0330412225454377	0.488776304519243	0.0250966758822518	0.00222003122591684	0.01333014631544	0.0815528147726023	0.0897240283170912	1.0635035875251e-62	0.0277145453423666	0.158666395402357	0.0146767652280985	0.0412383748220047	0.0146767652280985	0.47230668546973	0.126034102091693	0.136619943872778	0.0277145453423666	0.667533678134568	0.106338076512909	0.0725760500612489	0.0318824398791883	0.0652399829506255	0.136619943872778	0.115924125437746	0.170744280129452	0.328864580620885	0.28042971527951	0.126034102091693	0.841745423589662	0.0206028235613592	0.163752757111879	0.0800526049602328	0.00479685659314402	0.0525890110607777	0.0206028235613592	0.380103544304675	0.195572315225109	0.170744280129452	0.251181298175152
