Variovorax	Flavobacterium	Actinoplanes	Lentzea	Streptomyces	Pseudoxanthomonas	Rhizobium	Promicromonospora	Nocardioides	g__Podospora	Pseudomonas	Massilia	Umezawaea	Devosia	Galbitalea	Sphingomonas	Mesorhizobium	Herbaspirillum	Caulobacter	Phyllobacterium	Kribbella	Arthrobacter	Shinella	Aeromicrobium	Kineosporia	g__Cladosporium	Chondromyces	Rudaibacter	g__Mycosphaerella	Steroidobacter	g__Nigrospora	Stenotrophomonas	Pantoea	g__Mortierella	Ideonella	Rhodanobacter	Bradyrhizobium	Phycicoccus	Chryseobacterium	Agromyces	Microbacterium	Solirubrobacter	Mycobacterium	Bosea	Altererythrobacter	Aquabacterium	g__Edenia	Curtobacterium	g__Metacordyceps	Dactylosporangium	g__Bipolaris	Haliangium	g__Didymella	Actinosynnema	Reyranella	Peredibacter	Polyangium
Variovorax	1.0635035875251e-62	0.00696480933272788	0.236545911011024	0.0102764117493146	0.0361640352154969	0.000218229553423261	0.00231865228439081	0.0146767652280985	0.345260123813093	0.629332547501594	0.26585729269886	0.0206028235613592	0.0361640352154969	0.0970171046027975	0.0525890110607777	0.00852549299153956	0.0239288638050739	0.0102764117493146	0.0652399829506255	0.0652399829506255	0.0970171046027975	0.236545911011024	0.0206028235613592	0.251181298175152	0.147388319581596	0.312099710594098	0.0725760500612489	0.0800526049602328	0.209252225035496	0.0277145453423666	0.183261255969966	0.0970171046027975	0.667533678134568	0.345260123813093	0.0466066320161955	0.416445039747764	0.0412383748220047	0.106338076512909	0.0239288638050739	0.0970171046027975	0.28042971527951	0.170744280129452	0.251181298175152	0.00324916903966054	0.058591389079912	0.0525890110607777	0.328864580620885	0.28042971527951	0.434681707411769	0.106338076512909	0.170744280129452	0.26585729269886	0.136619943872778	0.380103544304675	0.0318824398791883	0.0239288638050739	0.0361640352154969
Flavobacterium	0.000813862111732211	1.0635035875251e-62	0.0361640352154969	0.0102764117493146	0.0102764117493146	0.00430453346027947	3.53407950301478e-05	0.000940440154764705	0.0525890110607777	0.969131160614963	0.398001972445138	0.000218229553423261	0.00231865228439081	0.0146767652280985	0.00696480933272788	3.53407950301478e-05	0.00696480933272788	0.0361640352154969	0.00430453346027947	0.126034102091693	0.0102764117493146	0.0175417875145346	0.000537689887687722	0.0525890110607777	0.0239288638050739	0.0412383748220047	0.00430453346027947	0.0146767652280985	0.0146767652280985	0.000940440154764705	0.0277145453423666	0.296278007588038	0.47230668546973	0.058591389079912	0.0102764117493146	0.222566176383523	0.00553869990510938	0.0123941024872159	0.000940440154764705	0.0102764117493146	0.251181298175152	0.0361640352154969	0.088075480565631	0.0361640352154969	0.0412383748220047	0.00852549299153956	0.648577605544963	0.115924125437746	0.126034102091693	0.0146767652280985	0.0102764117493146	0.0412383748220047	0.00852549299153956	0.416445039747764	0.00852549299153956	0.00553869990510938	0.0102764117493146
Actinoplanes	0.138333698394492	0.0111434467996942	1.0635035875251e-62	0.296278007588038	0.00696480933272788	0.195572315225109	0.0725760500612489	0.0123941024872159	0.00852549299153956	0.510958181051274	0.969131160614963	0.0146767652280985	0.00231865228439081	0.0239288638050739	0.00324916903966054	0.0277145453423666	0.0175417875145346	0.28042971527951	0.00852549299153956	0.328864580620885	0.000940440154764705	0.0277145453423666	0.0277145453423666	0.0146767652280985	3.53407950301478e-05	0.115924125437746	0.00324916903966054	0.00149785529177092	0.0318824398791883	0.0525890110607777	0.251181298175152	0.896844531854545	0.933202167575064	0.00324916903966054	0.106338076512909	0.0318824398791883	0.00696480933272788	0.00231865228439081	0.0466066320161955	0.000940440154764705	0.629332547501594	0.00149785529177092	0.0318824398791883	0.569532593475707	0.26585729269886	0.00324916903966054	0.896844531854545	0.609294756836666	0.00175170624236935	0.00231865228439081	0.0123941024872159	0.00696480933272788	0.0361640352154969	0.550345022915979	0.00430453346027947	0.00852549299153956	0.00324916903966054
Lentzea	0.00163680331598672	0.00163680331598672	0.186904810349332	1.0635035875251e-62	0.158666395402357	0.0146767652280985	0.00696480933272788	0.0175417875145346	0.222566176383523	0.434681707411769	0.209252225035496	0.0239288638050739	0.058591389079912	0.28042971527951	0.147388319581596	0.00852549299153956	0.170744280129452	0.115924125437746	0.158666395402357	0.453537722917589	0.147388319581596	0.147388319581596	0.0466066320161955	0.47230668546973	0.251181298175152	0.058591389079912	0.058591389079912	0.170744280129452	0.147388319581596	0.0239288638050739	0.106338076512909	0.0525890110607777	0.170744280129452	0.510958181051274	0.00149785529177092	0.764548403426359	0.147388319581596	0.183261255969966	0.0361640352154969	0.147388319581596	0.126034102091693	0.251181298175152	0.345260123813093	0.0239288638050739	0.0652399829506255	0.158666395402357	0.170744280129452	0.0652399829506255	0.530427816153323	0.195572315225109	0.110184670323746	0.158666395402357	0.088075480565631	0.222566176383523	0.126034102091693	0.115924125437746	0.147388319581596
Streptomyces	0.0111434467996942	0.00163680331598672	0.000813862111732211	0.0815528147726023	1.0635035875251e-62	0.0361640352154969	0.0175417875145346	0.00696480933272788	0.0206028235613592	0.822879326508305	0.822879326508305	0.00696480933272788	0.00149785529177092	0.00696480933272788	3.53407950301478e-05	0.00852549299153956	0.000940440154764705	0.0361640352154969	0.00231865228439081	0.0800526049602328	0.00149785529177092	0.0800526049602328	0.0123941024872159	0.00696480933272788	0.00430453346027947	0.209252225035496	0.00553869990510938	0.000537689887687722	0.0970171046027975	0.0175417875145346	0.222566176383523	0.72562516692275	0.969131160614963	0.0146767652280985	0.106338076512909	0.0525890110607777	0.000940440154764705	0.000537689887687722	0.0277145453423666	0.00149785529177092	0.550345022915979	0.00149785529177092	0.00852549299153956	0.183261255969966	0.136619943872778	0.00149785529177092	0.915229047183658	0.47230668546973	0.0110044178595763	0.00324916903966054	0.0277145453423666	0.0525890110607777	0.088075480565631	0.36249602467333	0.000218229553423261	3.53407950301478e-05	0.000940440154764705
Pseudoxanthomonas	1.46754618740424e-06	0.000343612197763281	0.107593187782415	0.00294022702327952	0.0111434467996942	1.0635035875251e-62	0.000940440154764705	0.0123941024872159	0.312099710594098	0.802768197431411	0.28042971527951	0.0102764117493146	0.0277145453423666	0.0525890110607777	0.0466066320161955	0.00553869990510938	0.0123941024872159	0.0146767652280985	0.0412383748220047	0.0466066320161955	0.0652399829506255	0.183261255969966	0.00696480933272788	0.209252225035496	0.126034102091693	0.236545911011024	0.0466066320161955	0.0800526049602328	0.106338076512909	0.0239288638050739	0.0970171046027975	0.115924125437746	0.609294756836666	0.28042971527951	0.058591389079912	0.36249602467333	0.0206028235613592	0.088075480565631	0.00852549299153956	0.0652399829506255	0.195572315225109	0.147388319581596	0.236545911011024	0.00231865228439081	0.0800526049602328	0.0277145453423666	0.434681707411769	0.222566176383523	0.388657330127782	0.058591389079912	0.120036350857764	0.251181298175152	0.088075480565631	0.453537722917589	0.0239288638050739	0.0175417875145346	0.0277145453423666
Rhizobium	0.000112034506393977	9.3074599889559e-08	0.0288827975067328	0.000813862111732211	0.00381492008255072	2.27985492064171e-05	1.0635035875251e-62	0.00149785529177092	0.106338076512909	0.950743472548098	0.328864580620885	0.000940440154764705	0.00553869990510938	0.0239288638050739	0.0146767652280985	0.000218229553423261	0.00852549299153956	0.0239288638050739	0.0102764117493146	0.088075480565631	0.0206028235613592	0.0361640352154969	0.000940440154764705	0.0970171046027975	0.0466066320161955	0.0652399829506255	0.0102764117493146	0.0318824398791883	0.0277145453423666	0.00324916903966054	0.0361640352154969	0.222566176383523	0.491274571645978	0.115924125437746	0.0146767652280985	0.312099710594098	0.00852549299153956	0.0277145453423666	0.00149785529177092	0.0206028235613592	0.236545911011024	0.0652399829506255	0.136619943872778	0.0123941024872159	0.058591389079912	0.0123941024872159	0.550345022915979	0.126034102091693	0.215344554507627	0.0239288638050739	0.0218299624343518	0.088075480565631	0.0175417875145346	0.47230668546973	0.0123941024872159	0.00852549299153956	0.0146767652280985
Promicromonospora	0.00294022702327952	2.27985492064171e-05	0.00222003122591684	0.00381492008255072	0.000813862111732211	0.00222003122591684	5.4840529985137e-05	1.0635035875251e-62	0.0318824398791883	0.896844531854545	0.648577605544963	0.000537689887687722	0.000218229553423261	0.0361640352154969	0.00430453346027947	0.000218229553423261	0.0102764117493146	0.0800526049602328	0.0102764117493146	0.183261255969966	0.00324916903966054	0.0277145453423666	0.00324916903966054	0.0725760500612489	0.00852549299153956	0.0466066320161955	0.00149785529177092	0.00696480933272788	0.0318824398791883	0.0102764117493146	0.115924125437746	0.510958181051274	0.706957539557463	0.058591389079912	0.0102764117493146	0.26585729269886	0.00430453346027947	0.00696480933272788	0.00553869990510938	0.00324916903966054	0.328864580620885	0.0123941024872159	0.0800526049602328	0.0800526049602328	0.136619943872778	0.00324916903966054	0.706957539557463	0.28042971527951	0.0652399829506255	0.00553869990510938	0.00760170763427457	0.0239288638050739	0.0206028235613592	0.453537722917589	0.00324916903966054	0.00430453346027947	0.00430453346027947
Nocardioides	0.229112840982819	0.0185731550894602	0.00117353818015547	0.127552869703234	0.0048620611019646	0.200422686711942	0.0479117261299755	0.00922195272221601	1.0635035875251e-62	0.841745423589662	0.915229047183658	0.0239288638050739	0.0123941024872159	0.0361640352154969	0.0102764117493146	0.0361640352154969	0.058591389079912	0.28042971527951	0.0146767652280985	0.453537722917589	0.00553869990510938	0.0239288638050739	0.058591389079912	0.0123941024872159	0.0206028235613592	0.0206028235613592	0.00696480933272788	0.0146767652280985	0.058591389079912	0.0318824398791883	0.136619943872778	0.950743472548098	0.569532593475707	0.0146767652280985	0.0800526049602328	0.183261255969966	0.0239288638050739	0.00324916903966054	0.088075480565631	0.00553869990510938	0.510958181051274	0.00324916903966054	0.00430453346027947	0.569532593475707	0.345260123813093	0.0277145453423666	0.745775004179884	0.183261255969966	0.00553869990510938	0.0123941024872159	0.00607899541057237	0.0318824398791883	0.0800526049602328	0.328864580620885	0.0277145453423666	0.0239288638050739	0.0466066320161955
g__Podospora	0.5108853175152	0.960240418128624	0.384841230261283	0.31037609170568	0.751419652325848	0.726057014762789	0.933772958094147	0.854813088248743	0.77699846344389	1.0635035875251e-62	0.36249602467333	0.86034215698819	0.745775004179884	0.629332547501594	0.764548403426359	0.987809039672843	0.706957539557463	0.764548403426359	0.667533678134568	0.969131160614963	0.648577605544963	0.72562516692275	0.783438459030451	0.687588819068256	0.530427816153323	0.879114097417844	0.764548403426359	0.783438459030451	0.648577605544963	0.987809039672843	0.933202167575064	0.0412383748220047	0.236545911011024	0.491274571645978	0.648577605544963	0.629332547501594	0.667533678134568	0.745775004179884	0.879114097417844	0.648577605544963	0.328864580620885	0.72562516692275	0.933202167575064	0.491274571645978	0.530427816153323	0.609294756836666	0.0970171046027975	0.416445039747764	0.667533678134568	0.589922162114236	0.776050282576353	0.86034215698819	0.783438459030451	0.136619943872778	0.72562516692275	0.783438459030451	0.648577605544963
