TAH6	TAD7	TAE0H7	TAH10	TAH8	TAE0BS2	TAE0BS5	TAE0D4	TAD8	TAH5	TAH1	TABS3	TAE0BS1	TABS4	TAH4	TAE0D9	TAH2	TAD5	TAD3	TAE0H6	TAH7	TAD6	TAE0D7	TAE0H10	TAE0H8	TAE0D5	TAE0D1	TAH3	TABS5	TAD9	TAD2	TAE0H9	TAH9	TAE0BS4	TAE0BS3	TABS2	TAD10	TAD1	TAD4	TABS1
OTU_648	0	0	0	0	0	3	6	0	0	0	0	11	4	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	9	4	0	0	0	3
OTU_65	7	998	143	110	218	65	111	176	112	5	146	29	33	51	13	191	204	19	121	9	86	97	1092	137	242	29	234	224	71	193	61	5	7	59	54	52	234	107	132	30
OTU_30	269	4	27	1031	15	140	254	13	13	967	591	422	338	1439	3	76	7	0	98	406	14	0	1	1185	17	5	0	11	177	64	16	300	194	1590	613	124	46	0	10	330
OTU_63	68	0	7	134	472	28	0	0	0	2189	9	8	36	13	274	0	140	2	0	119	3	0	0	188	494	3	0	822	4	0	0	698	357	13	8	19	0	0	0	23
OTU_61	0	1	0	895	0	0	0	0	1	0	662	0	1	0	0	1	0	0	128	0	0	1	0	1073	0	0	0	0	0	5	0	0	5	0	0	0	3989	0	0	1
OTU_69	10	12	5	28	9	187	164	34	6	103	17	124	67	93	10	281	63	32	435	5	2	968	6	40	11	43	34	34	143	197	22	336	152	85	162	128	350	35	13	46
OTU_18	0	1008	50	5	12	55	14	0	1163	20	0	5	1259	3	4	2452	3	1	0	0	29	2	1027	9	7	3	6	1	23	2013	968	8	0	5	3	34	0	2	1	1130
OTU_7	1168	2259	10	440	10	0	222	3102	1213	15	157	1	0	0	2	382	6	6770	276	1803	0	221	2472	467	21	10280	3965	2	144	270	43	262	147	0	4	2	2135	2021	2552	1
OTU_690	0	0	12	0	0	0	0	0	0	0	8	4	3	11	0	0	9	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	3
OTU_12	1120	1264	191	571	1111	145	189	1436	264	4170	169	178	91	149	716	471	430	51	2161	1805	104	258	1286	745	1223	175	421	1093	168	405	114	5740	3022	181	181	138	1197	234	1140	96
OTU_37	0	0	0	0	0	2739	0	0	0	0	0	0	0	950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1270	1	2536	0	0	0	0
OTU_502	0	0	0	0	0	0	49	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	2
OTU_14	153	1203	135	173	450	252	135	45	505	218	36	104	34	52	982	207	113	44	567	191	108	2397	1294	247	492	111	222	791	94	162	214	295	182	68	130	207	521	99	37	28
OTU_423	0	0	0	0	0	43	30	0	0	0	0	23	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	19	33	23	0	0	0	2
OTU_292	28	0	1	75	17	3	4	0	0	1896	4	0	2	0	1998	0	18	0	0	35	0	0	0	71	19	0	0	1318	5	0	23	11122	6296	0	3	6	0	0	0	1
OTU_38	58	25	2125	858	321	21	88	22	17	32	2228	71	42	197	135	51	649	24	7	116	1465	1	39	1190	338	53	103	3	54	33	1	28	8	242	95	30	70	27	19	36
OTU_152	0	0	1	1	0	41	64	6	0	0	0	4	174	101	0	0	8	0	2	0	0	0	0	0	1	0	0	0	54	0	0	0	0	87	7	21	0	0	6	129
OTU_169	0	0	1	4	1	93	84	5	26	2	3	116	193	47	0	26	1	5	4	0	1	0	4	9	2	2	4	0	72	44	1	0	0	44	161	81	0	6	2	177
OTU_81	0	685	24	240	0	319	12	26	85	0	393	10	37	13	1	80	2	9	235	2	11	112	748	363	0	45	130	1	3	55	25	0	0	8	27	282	67	81	15	30
OTU_83	9	267	86	27	26	274	277	186	122	15	87	252	310	719	75	142	66	20	71	4	48	119	310	41	27	19	176	179	297	124	756	17	4	865	306	267	255	71	138	268
OTU_407	0	2	6	0	0	0	1	0	2	0	26	0	22	0	0	24	0	1	0	0	2	0	3	1	0	5	0	0	0	15	0	28	9	0	2	1	0	0	2	15
OTU_86	0	0	654	6	1	8	94	106	0	0	195	96	63	14	0	3	4	4	22	0	512	0	0	2	0	3	0	0	73	0	1	0	0	26	95	3	0	0	94	61
OTU_17	49	57	50	268	350	79	131	4852	13	22	103	113	66	131	230	235	72	272	181	141	38	443	93	346	341	438	432	9	137	220	102	81	17	150	144	88	130	186	4242	63
OTU_42	3137	17	57	661	17	70	105	0	0	962	58	184	49	123	183	0	31	0	9	4731	39	0	20	809	17	1	0	19	87	0	0	4	9	132	254	63	0	0	0	39
OTU_60	0	0	1	1	0	0	2139	0	0	0	9	0	1	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1774	0	0	0	0	4	0	0	0	0	0	4
OTU_51	24	0	1	24	7	782	637	1	0	493	8	299	598	194	135	0	427	0	6	21	3	0	0	36	5	0	0	86	531	0	1	230	133	213	450	641	2	0	2	499
OTU_163	5	3	21	12	0	44	79	1	1	0	8	35	101	19	0	0	152	0	0	0	22	0	0	4	1	0	2	0	71	1	2	0	0	20	62	37	0	0	0	108
OTU_70	0	0	0	0	0	1738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1663	0	0	0	0
OTU_49	12	0	0	5	0	0	0	0	0	3	0	3	0	0	7324	0	2	0	0	8	0	0	0	3	2	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0
OTU_23	10	25	14	76	17	2986	1003	47	23	10	50	1255	236	707	10	6	7	11	3	23	10	0	32	115	25	29	14	1	847	1	7	1	1	832	1477	2727	0	4	28	264
OTU_82	108	0	6	9	219	66	24	0	1	48	8	334	61	75	2	0	7	0	11	135	5	0	0	16	240	0	0	1	17	0	0	310	163	83	391	60	0	0	0	55
OTU_77	324	3	0	1085	277	6	1	11	6	328	8	3	0	1	33	101	78	24	437	523	1	1241	3	1313	349	29	238	3	2	80	30	432	289	2	1	11	268	120	18	0
OTU_76	0	1	84	10	0	63	337	19	6	0	7	176	329	297	0	141	22	2	0	3	44	0	1	13	0	1	1	0	220	120	4	1	0	357	213	56	0	0	10	387
OTU_44	26	3	7	26	4	565	395	30	3	3	24	629	665	884	6	16	8	12	0	51	2	0	7	36	0	31	8	0	332	11	6	12	8	1126	828	480	2	4	13	604
OTU_57	0	1	3	3	0	354	17	3	5	0	17	43	2008	74	1	39	23	8	48	0	0	1	1	1	0	10	0	0	21	24	2	0	0	99	44	285	67	0	2	1874
OTU_32	911	10	2	69	2136	54	59	40	100	423	31	60	60	85	28	16	466	6	7	1706	1	2	22	74	2572	23	0	13	55	9	16	684	248	98	94	39	15	2	41	63
OTU_53	23	122	7	527	77	5	14	222	105	1	183	10	6	9	13	135	95	145	429	29	11	755	165	709	91	276	7	11	23	112	605	0	0	8	12	4	153	1	194	0
OTU_50	0	7	10	202	25	1564	747	10	1	5	84	289	176	359	15	2	12	2	2	1	8	0	5	203	30	5	11	1	626	1	6	4	0	345	325	1439	1	1	11	124
OTU_812	0	0	0	0	15	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	2	13	0	0	2	0	0	0	27	10	0	0	0	0	0	0	0
OTU_36	85	690	141	536	25	0	0	121	245	2	219	0	0	0	1018	151	80	114	59	187	105	280	717	732	31	150	4977	842	0	128	125	13	5	0	0	0	184	3143	141	0
OTU_58	0	50	1	1	0	468	268	109	10	1	2	18	23	25	0	600	4	25	469	0	1	35	59	0	0	65	259	0	189	485	329	3	1	34	36	422	254	68	104	16
OTU_313	0	0	6	33	0	0	49	2	0	1	45	38	42	19	0	0	19	0	0	0	7	0	0	41	0	0	0	0	45	0	0	0	0	20	37	0	1	0	1	38
OTU_40	656	8	15	159	336	188	71	6	13	718	2208	24	166	1554	167	5	2265	125	19	1083	12	1	7	219	418	196	6	416	66	3	58	587	267	1706	32	141	17	0	3	159
OTU_396	5	11	0	13	26	6	0	3	13	2	79	8	15	0	2	7	23	3	0	37	0	0	16	22	28	14	3	1	0	1	32	1	0	0	15	4	0	1	4	16
OTU_374	0	0	0	0	0	8	72	0	0	0	3	13	3	3	0	0	3	0	0	0	1	0	0	1	0	0	0	0	50	0	0	0	0	3	19	5	0	0	0	4
OTU_467	5	7	3	16	3	53	78	10	4	7	5	141	88	725	4	19	2	0	0	11	2	1	2	22	1	0	2	0	65	10	12	3	0	825	166	44	3	2	16	68
OTU_563	0	0	1	0	0	0	0	0	0	13	7	0	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	29	6	0	0	0	0	0	4
OTU_71	0	1	1	338	0	189	461	0	0	1	60	330	105	191	0	2	5	0	0	0	3	0	0	412	0	3	0	0	344	1	0	0	1	249	456	160	0	0	1	97
OTU_26	36	2	13	14	0	454	630	66	4	0	27	2343	1867	383	0	6	11	1	16	45	9	0	3	13	1	8	20	0	533	6	4	0	0	409	2675	432	2	6	41	1712
OTU_177	0	0	3	0	1	30	144	0	0	0	0	46	47	49	0	0	0	0	0	0	1	0	0	2	0	0	6	0	128	0	0	0	0	42	64	26	0	0	0	43
OTU_16	7	665	1	0	17	11	12	395	200	4	0	45	5	20	0	2404	5	24	1041	0	0	444	796	0	25	35	956	0	18	1958	3082	4	0	9	58	14	809	307	311	9
OTU_34	629	34	56	221	119	882	783	40	18	123	41	1137	1265	844	27	359	57	35	30	949	53	7	28	340	135	71	207	9	578	283	23	355	241	1003	1364	794	152	112	33	1159
OTU_92	43	3	5	7	2	68	127	15	24	30	7	67	402	258	29	29	4	4	27	70	10	7	0	9	0	0	6	24	109	11	2	27	11	276	72	54	27	2	13	351
OTU_122	2	1	0	0	14	140	103	0	0	45	2	96	52	46	0	7	0	0	1	1	0	0	0	9	15	0	0	0	90	9	9	4	0	33	153	117	0	2	0	49
OTU_109	0	0	757	142	0	0	0	0	0	0	68	0	0	0	99	0	177	0	0	0	561	0	0	191	2	0	3	13	2	0	0	0	0	0	0	0	0	0	0	0
OTU_74	0	0	3622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2768	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_132	0	0	3	0	45	0	25	0	0	1	19	0	6	13	0	0	1120	3	0	0	0	0	0	0	34	0	7	0	19	0	0	0	0	6	0	0	0	0	0	13
OTU_93	0	2	6	13	0	480	78	1	16	0	17	328	67	31	0	1	16	0	0	0	2	0	3	12	0	6	0	0	42	1	0	0	0	33	425	457	0	4	2	78
OTU_272	0	1	0	0	0	37	36	2	4	0	4	6	3	16	0	1	0	0	0	0	2	0	3	2	0	10	0	0	27	0	0	0	0	8	8	20	0	0	2	1
OTU_282	1	2	6	5	0	10	77	10	1	0	7	18	49	55	0	2	9	0	0	2	3	0	1	11	0	0	0	0	39	0	2	5	0	47	25	11	0	0	5	57
OTU_193	0	0	0	0	0	199	2	0	1	0	0	1	52	527	0	19	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	590	3	165	6	0	0	41
OTU_28	49	2	76	15	0	321	1199	2	2	2	16	1576	943	555	5	5	13	3	1	52	43	0	2	13	3	4	11	4	1096	6	4	0	0	642	1918	233	3	15	5	862
OTU_85	1	0	3	6	0	168	656	0	2	0	0	321	197	232	0	218	0	0	1	1	0	0	1	2	1	0	0	0	565	156	1	0	0	257	347	126	0	0	0	198
OTU_88	187	3	1	17	7	290	748	0	4	7	9	233	228	308	7	87	8	3	12	371	1	603	3	12	3	16	24	31	497	62	70	19	2	301	324	219	42	14	0	186
OTU_275	0	0	0	2	0	13	25	0	0	0	0	24	39	10	5	8	0	3	0	0	0	0	0	1	0	0	0	0	12	1	1	0	0	3	32	17	12	0	0	31
OTU_119	11	0	2	6	7	50	85	4	0	1	1	187	116	42	0	1	7	3	3	68	3	0	0	5	11	10	0	1	57	0	3	2	0	56	257	25	2	0	2	90
OTU_33	0	2	0	11	1	3703	164	0	1	0	2	8	11	28	0	3	1	0	0	0	1	1	1	11	0	0	0	0	97	1	13	0	0	37	26	3396	0	4	0	10
OTU_249	0	0	0	0	1	4	56	0	0	0	0	24	21	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	19	44	4	0	0	0	22
OTU_772	0	0	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0	11
OTU_765	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_192	0	0	0	0	5	1	45	0	0	0	0	117	31	200	0	0	1	0	0	0	2	0	0	1	2	0	0	1	21	0	0	0	0	201	143	3	0	0	0	23
OTU_95	6	0	0	2	70	4	71	0	0	867	0	13	0	8	3	0	0	0	0	11	0	0	0	0	62	0	0	37	59	0	0	1494	677	24	8	9	0	0	0	0
OTU_233	0	0	0	0	6	13	10	2	0	0	2	54	15	40	0	0	0	1	0	0	0	0	0	1	8	0	0	0	11	0	1	0	0	48	80	7	0	0	3	14
OTU_21	5	6	6	4	27	36	38	44	1	1	3	27	43	89	0	3726	0	604	33	11	1	147	2	5	26	1018	5	0	44	3186	4	4	0	142	24	32	1497	1	40	39
OTU_656	0	0	0	2	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0
OTU_210	0	0	0	0	0	0	2	0	0	0	0	62	12	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	66	0	0	0	0	12
OTU_27	6	96	943	3058	1	21	275	50	564	2	769	32	233	154	0	78	150	56	145	2	559	54	99	3867	0	78	330	0	215	77	8	0	14	141	33	23	26	168	54	190
OTU_29	1	0	0	2	686	4	2	1	0	26	33	8	0	234	83	36	1817	0	5	0	0	31	1	0	707	4	0	4154	0	16	4	119	62	286	9	1	115	0	4	0
OTU_1039	0	0	0	0	0	2	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	5
OTU_80	4	0	0	2	0	44	515	1	0	0	2	466	53	118	0	0	2	0	0	5	0	0	0	11	0	0	0	0	424	2	0	0	0	139	568	39	0	0	1	55
OTU_48	65	2	4	60	0	472	754	0	10	311	54	432	321	562	3	1	7	275	2	103	2	0	4	70	3	383	3	1	618	2	1	53	43	574	578	434	107	0	3	299
OTU_742	3	0	0	0	0	0	0	0	0	0	0	0	3	5	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	18	0	0	0	0	0	0
OTU_110	278	1	27	28	24	2	6	0	7	39	5	10	18	0	36	6	15	0	0	441	19	0	2	31	41	1	12	361	1	4	13	151	61	0	12	0	13	5	2	11
OTU_75	113	0	2	12	75	228	129	0	0	1	46	254	414	104	8	0	0	0	0	176	0	0	0	32	97	0	0	2	92	0	0	28	18	127	381	162	0	0	0	350
OTU_529	0	5	0	3	0	0	2	13	102	2	0	1	17	12	6	296	1	0	123	0	0	344	2	8	0	5	0	0	1	172	1	0	0	13	7	1	1	0	11	8
OTU_513	0	0	0	0	0	0	5	0	0	0	0	73	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	4
OTU_66	0	2	5	0	0	461	130	1	4	0	6	104	1105	86	0	46	7	10	1	0	2	6	3	0	1	10	0	0	133	32	18	0	0	102	117	388	12	0	0	1026
OTU_586	13	0	0	0	0	4	1	0	0	1	3	0	12	20	0	8	0	0	0	26	1	0	0	0	8	0	0	0	3	2	0	0	0	22	0	0	0	0	0	18
OTU_422	261	55	103	352	0	20	0	164	68	85	129	0	3	0	541	141	20	167	1327	431	66	26	64	419	1	271	487	168	0	130	94	0	1	0	0	25	117	217	107	4
OTU_123	4	0	5	14	11	236	40	3	0	1	49	101	161	150	21	4	6	0	1	2	0	86	0	12	11	0	0	0	31	1	0	0	1	166	128	198	20	0	1	142
OTU_154	183	0	0	183	0	40	0	0	0	4	1	8	23	259	2	0	0	0	0	355	0	0	0	281	0	0	0	0	0	0	0	0	0	338	4	30	0	0	0	26
OTU_87	16	0	0	0	0	3	1	0	0	1858	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	173	1	3	6	0	0	0	0
OTU_145	12	1	1	9	4	89	0	9	3	32	0	141	1	3	4	0	18	0	3	32	0	0	0	10	7	5	0	1	0	0	2	224	144	4	189	110	5	0	7	1
OTU_251	0	0	0	2	0	6	20	0	1	3	0	28	38	16	0	2	0	1	0	0	0	0	0	2	0	1	0	0	10	0	0	0	3	26	40	7	0	0	3	24
OTU_578	0	0	0	21	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
OTU_345	0	0	0	0	0	16	84	0	0	0	0	4	0	45	0	0	2	0	0	0	0	0	0	0	1	0	0	0	52	0	0	0	0	55	6	10	0	0	0	0
OTU_90	6	0	3	10	16	66	294	2	0	6	4	267	133	138	177	7	5	0	0	2	11	0	0	12	11	0	1	5	284	0	0	0	0	176	328	58	1	0	4	115
OTU_52	7	3	9	10	11	282	823	11	5	5	11	774	668	362	0	3	15	5	6	37	6	2	4	8	6	6	4	0	656	5	4	6	2	441	896	273	4	0	7	596
OTU_194	25	2	0	65	153	4	1	0	4	18	7	0	78	1	19	0	203	52	67	79	4	0	2	50	187	58	0	4	0	0	0	82	30	1	8	4	7	0	0	68
OTU_225	0	8	303	3	0	0	0	58	11	7	0	0	0	0	5	0	4	1	28	0	223	0	12	5	0	3	0	2	0	0	0	26	9	0	0	2	11	8	60	0
OTU_102	167	0	0	138	162	20	9	0	0	23	1	24	6	10	26	1	28	0	203	411	0	0	0	182	254	0	0	30	5	6	5	61	19	8	17	15	0	0	0	10
OTU_45	10	63	69	58	120	25	99	66	37	0	57	251	50	33	3	72	50	1956	47	20	56	210	87	58	143	3457	735	0	60	49	45	13	10	42	281	30	132	305	44	35
OTU_218	2	1	2	3	0	31	27	0	2	6	5	149	16	57	5	0	0	1	0	8	1	1	1	4	0	0	0	0	28	2	0	19	3	43	153	15	0	1	1	15
OTU_227	0	13	0	0	0	2	29	0	173	0	24	1	0	0	0	0	4	0	0	0	0	0	8	0	0	0	0	0	28	0	0	0	0	0	2	3	0	0	0	0
OTU_128	469	0	1	59	0	34	0	3	0	2	2	0	1	28	267	0	17	0	2	859	0	0	0	71	1	0	0	34	0	0	0	0	1	46	1	27	0	0	2	0
OTU_98	86	34	0	89	279	142	9	22	3	74	5	34	47	19	26	3	95	5	6	92	0	0	49	90	304	5	0	2	7	2	16	193	83	23	33	115	0	0	12	37
OTU_206	10	0	7	7	2	24	76	2	2	1	0	72	115	32	0	0	2	3	0	19	0	0	1	8	0	0	7	0	77	1	0	1	0	47	79	21	0	4	0	88
OTU_91	13	0	3	21	14	61	145	0	1	62	0	481	73	39	6	0	22	0	1	17	2	0	0	22	20	0	0	4	124	0	1	81	27	50	579	61	0	0	0	55
OTU_97	1	0	9	71	0	247	164	0	3	0	8	121	227	33	0	0	1	0	2	0	8	3	0	70	0	0	0	0	125	0	2	2	0	55	159	247	0	0	0	248
OTU_207	4	0	0	3	74	11	18	0	0	0	4	5	1	16	0	0	132	0	0	2	0	0	0	4	74	0	0	0	19	0	0	0	0	8	17	6	0	0	0	7
OTU_173	133	0	0	93	11	0	0	115	0	2	0	105	0	0	8	0	71	0	0	256	0	0	0	93	9	0	0	5	0	0	0	0	0	0	177	5	0	0	114	0
OTU_89	0	0	0	2	0	92	511	24	0	0	2	248	102	87	0	0	0	0	2	2	2	1	1	9	0	0	70	0	422	0	2	0	0	69	294	67	21	22	18	100
OTU_283	5	0	1	1	15	3	6	0	0	83	4	14	8	2	0	0	11	0	0	8	0	0	0	3	13	0	0	0	4	0	1	15	24	1	17	4	1	0	0	8
OTU_245	0	0	0	1	0	123	19	0	0	0	0	20	9	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	23	0	0	0	0	7	17	124	0	0	0	3
