TAD2	TAD3	TAD4	TAD6	TAD7	TAD9	TAD10	species	ID
bacOTU_1	0.426013442718411	10.2569939427132	0.265116132061991	0.269473402447365	9.44078315972197	1e-04	1e-04	bac	bacOTU_1
bacOTU_8	109.459854778632	20.7368638407029	6.75801136758077	21.8193455982366	35.6649030478385	20.8487638056763	28.448873715609	bac	bacOTU_8
bacOTU_5	213.382734801924	53.0683773557772	70.8919153265826	167.550356322261	131.959871277003	32.1814399822058	21.6527777724357	bac	bacOTU_5
bacOTU_3	831.809053629057	186.185022655773	208.302779800725	355.034244425627	216.296640837186	117.2197657954	72.8605704605319	bac	bacOTU_3
bacOTU_10	97.1083649397978	8.91913821105499	17.3586566500604	14.5462637321577	73.8472216049363	11.938339025657	11.0635120005146	bac	bacOTU_10
bacOTU_28	48.9801459126173	12.7097294507534	16.5636082538744	6.1956882562894	41.1195199845668	6.57478236195602	8.5347321146827	bac	bacOTU_28
bacOTU_9	90.7196632990216	42.5885074577876	23.5865357535172	133.339934211446	33.3571804976843	20.3297099349956	64.8000845744427	bac	bacOTU_9
bacOTU_4	86.4605288718375	59.0887281482393	38.8249633470817	89.97081641742	41.1195199845668	27.2504282107388	75.0732528606348	bac	bacOTU_4
bacOTU_13	36.202742631065	14.270561137688	10.2032210843866	37.7123763426311	54.7560623263874	4.67158483612665	6.48009845744427	bac	bacOTU_13
bacOTU_27	20.0180318077653	8.69616225577862	67.3141975437457	46.0629518184994	57.4833707947515	2.68187833185048	41.4088706304975	bac	bacOTU_27
bacOTU_6	19.1662049223285	440.600587626117	5.30042264123982	71.6534250509991	12.7974705054009	6.57478236195602	79.6566664037052	bac	bacOTU_6
bacOTU_7	99.6638455961082	22.5206714829139	42.9327133940425	66.5353304044992	50.1406172260789	29.0671167581214	15.6469255435849	bac	bacOTU_7
bacOTU_70	37.0545695165018	10.702945853266	21.9964389611452	7.54255526852622	18.0422944830242	12.8899377885717	18.8079004008748	bac	bacOTU_70
bacOTU_20	48.9801459126173	21.1828157512556	10.6007452824796	71.6534250509991	5.24492397762332	12.1978659609974	28.764971201338	bac	bacOTU_20
bacOTU_22	36.202742631065	59.5346800587921	17.2261485840294	30.4392944765523	25.8046339699067	10.294668435168	23.8654601725387	bac	bacOTU_22
