Promicromonospora	Flavobacterium	Rhizobium	Sphingomonas	Chryseobacterium	g__Acremonium	Mycobacterium	Microbacterium	g__Ophiosphaerella	g__Gibberella	Lysobacter	g__Pyrenochaetopsis	Burkholderia	Bacillus	Amycolatopsis	Sphingobium	Luteimonas	Achromobacter	Microvirga	Novosphingobium	Kaistia	g__Bipolaris	Chitinophaga	g__Pseudogymnoascus	Hyphomicrobium	Iamia	Pseudorhodoferax	Dissulfuribacter	Nocardia	Methylophilus	Reyranella	Afipia	Rhizocola	Nonomuraea	g__Didymella	Haloactinopolyspora	Panacagrimonas	Povalibacter	Pedomicrobium	Variibacter	Pedobacter	Chelativorans	Chelatococcus
Lysobacter	0.00037452115514758	0.000618785006736784	3.5786027973048e-05	2.78963481476785e-05	8.97478268573934e-05	0.00880123407167532	0.0022720341333066	0.0162476596606231	0.000435078716498605	0.0512378454621734	0	0.0670951932047528	0.00139912477464872	0.00165384375944881	0.0013141714068705	0.0110474328433542	2.78963481476785e-05	0.000580187228758013	0.000925992216032467	0.000660611392263069	0.000108929785270815	0.000465645609735888	4.11051215817933e-05	0.00117253728017774	3.5786027973048e-05	3.10669011206555e-05	0.00914668367365871	0.00262951141274441	0.00372468415444441	0.000406947220049863	9.95227980548239e-05	0.000239953979766976	0.000102405340846464	0.0402520545011082	0.0027509990979022	0.0184800946675902	0.00037452115514758	0.000500366108482196	0.00367882558066406	0.000264609329083089	0.00100133116590656	0.000406947220049863	0.000302029194789214
g__Pyrenochaetopsis	0.0251690854378627	0.238904424520427	0.0402520545011082	0.0184985518802278	0.0237648001622949	0.00478248547614094	0.268061326545817	0.000761820738647834	0.0506581112660738	0.00158597454687852	0.0670951932047528	0	0.168036140770807	0.238904424520427	0.245873185164815	0.0132543576489425	0.0102532049946585	0.0156953846781498	0.179502782202696	0.0216174646625424	0.256920851526342	0.00589947917816691	0.12287974106554	0.046921650633767	0.268061326545817	0.0412702556666904	0.00667007118738677	0.249645318145946	0.00878897576506145	0.0907693179128723	0.104253063243029	0.151702066178414	0.199869900591686	0.0184800946675902	0.136077614081377	0.133709438147859	0.0870588590957592	0.140980616617265	0.00478248547614094	0.39895982811894	0.152868117432629	0.303017508253253	0.18358510927274
Burkholderia	0.00117253728017774	0.0244648427497504	0.00239915696331727	0.00195365133651856	0.0259428445729783	0.0718086547910918	0.000187874169920726	0.0784113394725802	0.00457949951254156	0.0551582386716276	0.00139912477464872	0.168036140770807	0	0.00037452115514758	0.00156138816996482	0.0244648427497504	0.00104083834621246	0.00289713230060788	6.39025448309949e-05	0.00195365133651856	0.00589947917816691	0.0061694292040827	0.000102405340846464	0.000813990936641598	0.00017172120944226	0.00289713230060788	0.228143363985846	0.000187874169920726	0.0362336711488777	0.00104083834621246	1.06449290200983e-05	0.000347779184025321	0.000358049618055549	0.144845045598752	0.0835592218012768	0.000535710019872797	0.000406947220049863	0.0013141714068705	0.0209433223795031	0.000660611392263069	0.00892454144518109	0.000142692908583169	3.10669011206555e-05
Bacillus	0.000129956065644528	0.0244648427497504	0.00216828711429609	0.00117253728017774	0.00914668367365871	0.0123424453230094	0.00037452115514758	0.0381923031863887	5.69709396671992e-05	0.0247609633874981	0.00165384375944881	0.238904424520427	0.00037452115514758	0	0.000264609329083089	0.0457702103836947	0.00565606878059174	0.00156138816996482	0.000406947220049863	0.00139912477464872	0.00785120180703154	0.0061694292040827	0.000618785006736784	0.00589947917816691	0.00037452115514758	0.000618785006736784	0.185712191636597	2.05728959067365e-05	0.014627927900464	0.00111040401386504	0.000239953979766976	0.0027509990979022	2.62792369266779e-05	0.0196619729093161	0.0597976715819041	0.00199173301627724	0.000435078716498605	8.93866252894554e-05	0.0216174646625424	0.000347779184025321	0.000726741168094007	0.000535710019872797	0.00263687898050627
Amycolatopsis	0.00216828711429609	0.0184985518802278	0.0027509990979022	0.00104083834621246	0.00457949951254156	0.00914668367365871	0.000239953979766976	0.0571119209628237	0.000813990936641598	0.0693780585852597	0.0013141714068705	0.245873185164815	0.00156138816996482	0.000264609329083089	0	0.0446130168173068	0.00318615599050587	0.0027509990979022	0.000129956065644528	0.00251093273377094	0.00205764520921946	0.00251093273377094	0.000889606509657845	0.00037452115514758	0.00037452115514758	0.00251093273377094	0.14110858525264	0.000925992216032467	0.00388649719570871	0.00205764520921946	0.000465645609735888	0.00400577344799628	9.95227980548239e-05	0.0175477575577849	0.0325154764454017	0.00677143960331921	0.000535710019872797	0.00395013132704839	0.00565606878059174	0.000239953979766976	0.00367882558066406	0.000239953979766976	0.000580187228758013
Sphingobium	0.00815528116372047	0.104253063243029	0.00478248547614094	0.00478248547614094	0.00205764520921946	0.0132543576489425	0.0424297604779603	0.00565606878059174	0.00457949951254156	0.0254769060304482	0.0110474328433542	0.0132543576489425	0.0244648427497504	0.0457702103836947	0.0446130168173068	0	0.000925992216032467	0.000187874169920726	0.0506581112660738	0.000108929785270815	0.0686311936642255	0.00438826312027971	0.0136902583898738	0.00880123407167532	0.0435244491824382	0.0146358741532333	0.0223365424504938	0.0766514660104878	0.00351359537777537	0.00367882558066406	0.020292529477274	0.0251690854378627	0.0328958653303111	0.0636700133231582	0.115204901928527	0.0092713057296182	0.0132543576489425	0.0338886623584576	0.00418685670911299	0.0853037902367692	0.0618415441614408	0.0718086547910918	0.0244648427497504
Luteimonas	0.000204713377952181	0.00367882558066406	5.51052037556601e-06	1.06449290200983e-05	5.69709396671992e-05	0.00785120180703154	0.00335053436292838	0.00382907231003841	0.000660611392263069	0.0193104582208691	2.78963481476785e-05	0.0102532049946585	0.00104083834621246	0.00565606878059174	0.00318615599050587	0.000925992216032467	0	0.000204713377952181	0.00165384375944881	0.000108929785270815	0.00174513797782845	7.8762015460858e-05	0.000112136439854611	0.000187874169920726	0.00111040401386504	0.000156769178068079	0.00541924856404425	0.00724983323021421	0.00156138816996482	0.00017172120944226	7.24149009623784e-05	0.00017172120944226	0.00104083834621246	0.0453175214115659	0.00589947917816691	0.00528145875404649	0.000239953979766976	0.00195365133651856	0.00111040401386504	0.00667007118738677	0.00615030733949511	0.00195365133651856	0.000347779184025321
Achromobacter	0.000660611392263069	0.0457702103836947	0.000660611392263069	8.97478268573934e-05	0.000435078716498605	0.00156138816996482	0.0022720341333066	0.00111040401386504	6.39025448309949e-05	0.00962326399157993	0.000580187228758013	0.0156953846781498	0.00289713230060788	0.00156138816996482	0.0027509990979022	0.000187874169920726	0.000204713377952181	0	0.00251093273377094	2.05728959067365e-05	0.0141769013084548	0.00195365133651856	0.00104083834621246	0.0013141714068705	0.00438826312027971	0.000239953979766976	0.0325154764454017	0.0110474328433542	0.000580187228758013	0.000187874169920726	0.00174513797782845	0.00289713230060788	0.00188933761085013	0.0173258016783089	0.0670951932047528	0.0092713057296182	0.000660611392263069	0.00251093273377094	0.000982200498394705	0.00724983323021421	0.00323781754750221	0.0146358741532333	0.00418685670911299
Microvirga	0.00216828711429609	0.0128003496676357	0.00111040401386504	0.000535710019872797	0.00785120180703154	0.0457702103836947	1.76396150352905e-05	0.064145616503525	0.00262951141274441	0.079272876417294	0.000925992216032467	0.179502782202696	6.39025448309949e-05	0.000406947220049863	0.000129956065644528	0.0506581112660738	0.00165384375944881	0.00251093273377094	0	0.00367882558066406	0.000813990936641598	0.0022720341333066	0.000273672743228348	0.000925992216032467	0.000709570694760257	0.000500366108482196	0.188904042642857	0.00289713230060788	0.0173258016783089	0.00139912477464872	1.76396150352905e-05	0.000129956065644528	0.000108929785270815	0.109201861900958	0.0168133184087857	0.0049797309247699	0.000660611392263069	0.000660611392263069	0.0259428445729783	0.000239953979766976	0.00289713230060788	0.000982200498394705	9.27206663822613e-06
Novosphingobium	6.39025448309949e-05	0.00949904174056454	0.000221672610367529	8.97478268573934e-05	0.000156769178068079	0.00335053436292838	0.00195365133651856	0.000813990936641598	0.000319897157499864	0.0120495234246641	0.000660611392263069	0.0216174646625424	0.00195365133651856	0.00139912477464872	0.00251093273377094	0.000108929785270815	0.000108929785270815	2.05728959067365e-05	0.00367882558066406	0	0.00367882558066406	0.000580187228758013	0.00100133116590656	0.00017172120944226	0.00216828711429609	0.000500366108482196	0.0251690854378627	0.00335053436292838	0.000229479496357672	0.000129956065644528	0.000500366108482196	0.00174513797782845	0.0013141714068705	0.0251690854378627	0.0362513285769308	0.00134504461755217	0.000319897157499864	0.00259812622376631	0.000264609329083089	0.00418685670911299	0.00117253728017774	0.0049797309247699	0.0032081627721808
Kaistia	0.00251093273377094	1.76396150352905e-05	0.000290773277123092	0.000709570694760257	0.000535710019872797	0.0870588590957592	0.000870583719852118	0.064145616503525	0.00985384697098016	0.230416135874505	0.000108929785270815	0.256920851526342	0.00589947917816691	0.00785120180703154	0.00205764520921946	0.0686311936642255	0.00174513797782845	0.0141769013084548	0.000813990936641598	0.00367882558066406	0	0.0035175827756176	0.00134504461755217	0.00184888810855302	0.000660611392263069	0.000319897157499864	0.0571119209628237	0.0137162459646182	0.0170118238611476	0.00205764520921946	0.000204713377952181	0.000290773277123092	0.00156138816996482	0.175201686026404	0.000618785006736784	0.0262491687027596	0.00251093273377094	0.00594303605679664	0.020292529477274	0.00037452115514758	0.000290763415262796	0.00139912477464872	0.000879253971105937
g__Bipolaris	0.000347779184025321	0.00949904174056454	0.000347779184025321	0.000406947220049863	0.000204713377952181	0.0022720341333066	0.0061694292040827	0.00694313217480643	0.000813990936641598	0.0038720053439572	0.000465645609735888	0.00589947917816691	0.0061694292040827	0.0061694292040827	0.00251093273377094	0.00438826312027971	7.8762015460858e-05	0.00195365133651856	0.0022720341333066	0.000580187228758013	0.0035175827756176	0	0.00178369637841546	0.00156138816996482	0.00478248547614094	0.000870583719852118	0.00985384697098016	0.00949904174056454	0.000709570694760257	0.00642188435491219	0.000580187228758013	0.00541924856404425	0.000889606509657845	0.008222927164667	0.00457949951254156	0.00667007118738677	0.00216828711429609	0.00336181939136292	0.00205764520921946	0.00565606878059174	0.0085971076695937	0.00289713230060788	0.0015179925445281
Chitinophaga	0.000678579180911065	0.0138770148089282	0.000418342711042847	0.000435078716498605	0.00280674668127847	0.0114414333295128	0.00117253728017774	0.0319563765815352	0.000945078955586832	0.0336810146594871	4.11051215817933e-05	0.12287974106554	0.000102405340846464	0.000618785006736784	0.000889606509657845	0.0136902583898738	0.000112136439854611	0.00104083834621246	0.000273672743228348	0.00100133116590656	0.00134504461755217	0.00178369637841546	0	0.000514934629002886	0.000248300236429738	0.000580187228758013	0.0954314270430841	0.00106112024809513	0.00384776378899071	0.000889606509657845	1.86138314480935e-05	4.72444286241595e-05	5.69709396671992e-05	0.0457538039344489	0.0266955078474376	0.00687834134801877	0.00110940605733269	0.00107797364127477	0.00457949951254156	0.00113253329955595	0.00303805473225217	0.000465645609735888	0.000103142970933943
g__Pseudogymnoascus	0.0013141714068705	0.00985384697098016	0.00117253728017774	0.000290773277123092	0.00239915696331727	0.0110474328433542	0.000870583719852118	0.00478248547614094	0.00815528116372047	0.0347145272909794	0.00117253728017774	0.046921650633767	0.000813990936641598	0.00589947917816691	0.00037452115514758	0.00880123407167532	0.000187874169920726	0.0013141714068705	0.000925992216032467	0.00017172120944226	0.00184888810855302	0.00156138816996482	0.000514934629002886	0	0.00104083834621246	0.00335053436292838	0.0718086547910918	0.00335053436292838	0.000406947220049863	0.0013141714068705	0.000187874169920726	0.000982200498394705	0.0013141714068705	0.0566924380692618	0.0493805607467188	0.00465038952364104	0.000221672610367529	0.0138759481161885	0.000142692908583169	0.00251093273377094	0.00589947917816691	0.0013141714068705	0.000435078716498605
Hyphomicrobium	0.00139912477464872	0.00165384375944881	0.0013141714068705	0.000660611392263069	0.00541924856404425	0.0372489796300892	0.00148502748267143	0.0749934658881162	0.00262951141274441	0.116470525038594	3.5786027973048e-05	0.268061326545817	0.00017172120944226	0.00037452115514758	0.00037452115514758	0.0435244491824382	0.00111040401386504	0.00438826312027971	0.000709570694760257	0.00216828711429609	0.000660611392263069	0.00478248547614094	0.000248300236429738	0.00104083834621246	0	0.00165384375944881	0.0544980759584066	5.69709396671992e-05	0.0209257682854868	0.00117253728017774	0.000156769178068079	0.00117253728017774	2.05728959067365e-05	0.09623461917092	0.020292529477274	0.00796674587347331	0.000187874169920726	0.000406947220049863	0.0132543576489425	4.75264565380302e-06	0.00382907231003841	4.75264565380302e-06	0.000109919208492258
Iamia	3.10669011206555e-05	0.00104083834621246	4.12180451728879e-06	4.12180451728879e-06	4.04259444016751e-05	0.00914668367365871	0.000500366108482196	0.00382907231003841	8.97478268573934e-05	0.0407105271370567	3.10669011206555e-05	0.0412702556666904	0.00289713230060788	0.000618785006736784	0.00251093273377094	0.0146358741532333	0.000156769178068079	0.000239953979766976	0.000500366108482196	0.000500366108482196	0.000319897157499864	0.000870583719852118	0.000580187228758013	0.00335053436292838	0.00165384375944881	0	0.0184985518802278	0.00667007118738677	0.0043838830609333	5.69709396671992e-05	7.8762015460858e-05	0.000204713377952181	0.000761820738647834	0.0316170693100201	0.00382907231003841	0.0116230348316563	0.00017172120944226	0.00031962614132326	0.00589947917816691	0.00216828711429609	4.04259444016751e-05	0.0049797309247699	0.00251093273377094
Pseudorhodoferax	0.0237648001622949	0.0132543576489425	0.00667007118738677	0.00382907231003841	0.0027509990979022	0.0151600926109995	0.358222069055899	0.00949904174056454	0.0352473556462596	0.130379899322658	0.00914668367365871	0.00667007118738677	0.228143363985846	0.185712191636597	0.14110858525264	0.0223365424504938	0.00541924856404425	0.0325154764454017	0.188904042642857	0.0251690854378627	0.0571119209628237	0.00985384697098016	0.0954314270430841	0.0718086547910918	0.0544980759584066	0.0184985518802278	0	0.157006252196185	0.030763744437831	0.0237648001622949	0.0946162743459594	0.0733703557921478	0.079077470097584	0.0636700133231582	0.00724983323021421	0.209707425901979	0.0435244491824382	0.0267067335111415	0.0168133184087857	0.162551016303804	0.101213057773003	0.143688857854164	0.10894753896577
Dissulfuribacter	0.000347779184025321	0.0196774469308977	0.00667007118738677	0.00400577344799628	0.030763744437831	0.0216174646625424	0.00303805473225217	0.0627382140675164	0.0022720341333066	0.0329236781287074	0.00262951141274441	0.249645318145946	0.000187874169920726	2.05728959067365e-05	0.000925992216032467	0.0766514660104878	0.00724983323021421	0.0110474328433542	0.00289713230060788	0.00335053436292838	0.0137162459646182	0.00949904174056454	0.00106112024809513	0.00335053436292838	5.69709396671992e-05	0.00667007118738677	0.157006252196185	0	0.0254769060304482	0.00457949951254156	0.000500366108482196	0.00880123407167532	0.000108929785270815	0.0267067335111415	0.108572903985957	0.00104083834621246	0.000500366108482196	0.000813990936641598	0.0141769013084548	0.000435078716498605	0.00615030733949511	5.10851071794644e-05	0.00306253869986013
Nocardia	0.00199173301627724	0.0531511465576164	0.00445040835803033	0.00100133116590656	0.000709570694760257	4.72444286241595e-05	0.0173258016783089	0.000129956065644528	0.00318615599050587	0.00535873613614497	0.00372468415444441	0.00878897576506145	0.0362336711488777	0.014627927900464	0.00388649719570871	0.00351359537777537	0.00156138816996482	0.000580187228758013	0.0173258016783089	0.000229479496357672	0.0170118238611476	0.000709570694760257	0.00384776378899071	0.000406947220049863	0.0209257682854868	0.0043838830609333	0.030763744437831	0.0254769060304482	0	0.0092713057296182	0.0082584099361117	0.0184800946675902	0.00446734667561089	0.00251093273377094	0.0906855533011522	0.0369908578158499	0.00418685670911299	0.0244648427497504	5.51052037556601e-06	0.0209257682854868	0.00694313217480643	0.0328958653303111	0.0209040287689187
Methylophilus	0.000156769178068079	0.00318615599050587	2.49509763311339e-05	1.30032415241449e-05	0.000465645609735888	0.0223365424504938	0.00104083834621246	0.00724983323021421	0.000435078716498605	0.137558391569979	0.000406947220049863	0.0907693179128723	0.00104083834621246	0.00111040401386504	0.00205764520921946	0.00367882558066406	0.00017172120944226	0.000187874169920726	0.00139912477464872	0.000129956065644528	0.00205764520921946	0.00642188435491219	0.000889606509657845	0.0013141714068705	0.00117253728017774	5.69709396671992e-05	0.0237648001622949	0.00457949951254156	0.0092713057296182	0	0.00017172120944226	0.000129956065644528	0.00216828711429609	0.0931300365239436	0.0237648001622949	0.00505304025866932	6.39025448309949e-05	0.000709570694760257	0.00438826312027971	0.00457949951254156	0.000500366108482196	0.00457949951254156	0.00205764520921946
Reyranella	5.69709396671992e-05	0.00184888810855302	3.5786027973048e-05	9.95227980548239e-05	0.00148502748267143	0.0343381419966138	2.78963481476785e-05	0.0259428445729783	0.00104083834621246	0.0463025132486289	9.95227980548239e-05	0.104253063243029	1.06449290200983e-05	0.000239953979766976	0.000465645609735888	0.020292529477274	7.24149009623784e-05	0.00174513797782845	1.76396150352905e-05	0.000500366108482196	0.000204713377952181	0.000580187228758013	1.86138314480935e-05	0.000187874169920726	0.000156769178068079	7.8762015460858e-05	0.0946162743459594	0.000500366108482196	0.0082584099361117	0.00017172120944226	0	1.51815806894742e-05	9.40328119282331e-05	0.0805099799225393	0.0114681925285307	0.000889606509657845	5.10851071794644e-05	0.000535710019872797	0.00724983323021421	0.00037452115514758	0.000633495370387909	9.95227980548239e-05	2.78963481476785e-05
Afipia	0.00156138816996482	0.00262951141274441	8.97478268573934e-05	0.000142692908583169	0.00205764520921946	0.0718086547910918	0.000870583719852118	0.0343381419966138	0.00418685670911299	0.14807380430839	0.000239953979766976	0.151702066178414	0.000347779184025321	0.0027509990979022	0.00400577344799628	0.0251690854378627	0.00017172120944226	0.00289713230060788	0.000129956065644528	0.00174513797782845	0.000290773277123092	0.00541924856404425	4.72444286241595e-05	0.000982200498394705	0.00117253728017774	0.000204713377952181	0.0733703557921478	0.00880123407167532	0.0184800946675902	0.000129956065644528	1.51815806894742e-05	0	0.000709570694760257	0.260919922897663	0.00565606878059174	0.0173258016783089	0.00124310931168237	0.000639158587854422	0.020292529477274	0.00262951141274441	0.00139631465217796	0.00289713230060788	7.8762015460858e-05
Rhizocola	0.000633495370387909	0.0084469620526587	0.000945078955586832	0.000418342711042847	0.00303805473225217	0.0085971076695937	0.000813990936641598	0.0396351015172708	0.000386263539609959	0.0375289128449492	0.000102405340846464	0.199869900591686	0.000358049618055549	2.62792369266779e-05	9.95227980548239e-05	0.0328958653303111	0.00104083834621246	0.00188933761085013	0.000108929785270815	0.0013141714068705	0.00156138816996482	0.000889606509657845	5.69709396671992e-05	0.0013141714068705	2.05728959067365e-05	0.000761820738647834	0.079077470097584	0.000108929785270815	0.00446734667561089	0.00216828711429609	9.40328119282331e-05	0.000709570694760257	0	0.0344062186598428	0.0187107590366353	0.00748472078248761	0.000347779184025321	3.04768307906124e-05	0.0111853852591673	1.86138314480935e-05	0.00276920892142369	9.95227980548239e-05	7.8762015460858e-05
