Promicromonospora	Flavobacterium	Rhizobium	Phyllobacterium	Lentzea	Pseudoxanthomonas	Sphingomonas	Chryseobacterium	Massilia	Herbaspirillum	Devosia	g__Acremonium	Kribbella	g__Lachnella	g__Scytalidium	Mycobacterium	Caulobacter	Microbacterium	g__Ophiosphaerella	Steroidobacter	Sphingopyxis	Agromyces	g__Gibberella	Bradyrhizobium	Solirubrobacter	Bosea	Lysobacter	g__Pyrenochaetopsis	Burkholderia	Bacillus	Glycomyces	Amycolatopsis	Gaiella	Sphingobium	g__Chrysosporium	Conexibacter	Saccharibacteria_genera_incertae_sedis	Luteimonas	Pseudonocardia	g__Exophiala	Phenylobacterium	Terrabacter	Brevundimonas	Achromobacter	g__Cyphellophora	Microvirga	Novosphingobium	Kaistia	g__Bipolaris	Chitinophaga	Kinneretia	g__Pseudogymnoascus	Hyphomicrobium	g__Phaeoacremonium	Iamia	Pseudorhodoferax	Dissulfuribacter	Acholeplasma	Nocardia	Methylophilus	Gemmatimonas	Reyranella	Actinokineospora	Afipia	Methylotenera	Rhizomicrobium	Rhizocola	Sphingobacterium	Sporosarcina	Niastella	Nitrospira	Nonomuraea	g__Didymella	Rhodoligotrophos	Pseudolabrys	Ochrobactrum	Haloactinopolyspora	Panacagrimonas	Gp6	Catellatospora	g__Claussenomyces	Sulfuriferula	Povalibacter	Pedomicrobium	Variibacter	Inquilinus	Halobacteriovorax	Luteolibacter	Gp3	g__Trichoderma	Pedobacter	Chelativorans	Cohnella	Methylovirgula	Starkeya	Nakamurella	Thermoleophilum	Chelatococcus	Oxalicibacterium	Ammoniphilus	g__Ustilago
Promicromonospora	1	0.779411764705882	0.924019607843137	0.884803921568628	0.71078431372549	0.737745098039216	0.919117647058824	0.865196078431373	0.747549019607843	0.78921568627451	0.715686274509804	0.772058823529412	0.767156862745098	0.816176470588235	0.67156862745098	0.821078431372549	0.708333333333333	0.803921568627451	0.901960784313726	0.642156862745098	0.693627450980392	0.786764705882353	0.717446883011566	0.708333333333333	0.732843137254902	0.740196078431373	0.862745098039216	0.639705882352941	0.821078431372549	0.892156862745098	0.764705882352941	0.794117647058824	0.723039215686275	0.720588235294118	0.727941176470588	0.691176470588235	0.669117647058824	0.879901960784314	0.737745098039216	0.784313725490196	0.720588235294118	0.708333333333333	0.659313725490196	0.843137254901961	0.622549019607843	0.794117647058824	0.909313725490196	0.786764705882353	0.865196078431373	0.842428116649368	0.61764705882353	0.816176470588235	0.813725490196079	0.62381921298105	0.924019607843137	0.644607843137255	0.865196078431373	0.721853722671613	0.798283411846781	0.887254901960784	0.757352941176471	0.911764705882353	0.816176470588235	0.808823529411765	0.615196078431373	0.848039215686275	0.844880600249511	0.779147691715287	0.801470588235294	0.74264705882353	0.78921568627451	0.729976881987551	0.659313725490196	0.745098039215686	0.799019607843137	0.66515663070871	0.851011809249871	0.909313725490196	0.779411764705882	0.825980392156863	0.825260731448362	0.881667854251667	0.850817649613869	0.818627450980392	0.764705882352941	0.805194094489647	0.75	0.787247235646134	0.696684017437443	0.819990923178584	0.884120337851811	0.803921568627451	0.771501100224766	0.688052534035563	0.811716566288595	0.690419774404966	0.748472917848722	0.745326168119929	0.477259277401164	0.68063286279113	0.745738588495306
Flavobacterium	0.779411764705882	1	0.86764705882353	0.644607843137255	0.877450980392157	0.818627450980392	0.818627450980392	0.833333333333333	0.948529411764706	0.70343137254902	0.808823529411765	0.441176470588235	0.838235294117647	0.509803921568628	0.392156862745098	0.708333333333333	0.892156862745098	0.561274509803922	0.634803921568628	0.821078431372549	0.448529411764706	0.757352941176471	0.299755204545928	0.808823529411765	0.66421568627451	0.823529411764706	0.845588235294118	0.377450980392157	0.642156862745098	0.642156862745098	0.448529411764706	0.66421568627451	0.678921568627451	0.495098039215686	0.490196078431373	0.654411764705882	0.857843137254902	0.767156862745098	0.441176470588235	0.659313725490196	0.833333333333333	0.686274509803922	0.536764705882353	0.58578431372549	0.269607843137255	0.691176470588235	0.71078431372549	0.933823529411765	0.71078431372549	0.68546916624017	0.852941176470588	0.708333333333333	0.806372549019608	0.412121528254549	0.825980392156863	0.688725490196079	0.659313725490196	0.615698763455199	0.571428678833487	0.774509803921569	0.725490196078431	0.801470588235294	0.784313725490196	0.784313725490196	0.681372549019608	0.590686274509804	0.71857769484211	0.50231225784217	0.590686274509804	0.872549019607843	0.683823529411765	0.361289233821541	0.845588235294118	0.818627450980392	0.764705882352941	0.516091397084724	0.606989691035571	0.786764705882353	0.823529411764706	0.615196078431373	0.733292596442972	0.71857769484211	0.726277674815317	0.600490196078431	0.774509803921569	0.787931127685887	0.75	0.701410309641104	0.59680542378712	0.732443020102374	0.806867104447284	0.754901960784314	0.683048744784984	0.537618109031372	0.62632451102515	0.633908547318438	0.766968953709893	0.720273187678923	0.573713252099038	0.632379040429072	0.559967409866582
Rhizobium	0.924019607843137	0.86764705882353	1	0.823529411764706	0.803921568627451	0.879901960784314	0.963235294117647	0.946078431372549	0.82843137254902	0.877450980392157	0.794117647058824	0.669117647058824	0.740196078431373	0.66421568627451	0.534313725490196	0.821078431372549	0.813725490196079	0.75	0.865196078431373	0.745098039215686	0.691176470588235	0.732843137254902	0.557741241245293	0.74264705882353	0.656862745098039	0.850490196078431	0.921568627450981	0.598039215686275	0.78921568627451	0.794117647058824	0.620098039215686	0.781862745098039	0.669117647058824	0.752450980392157	0.71078431372549	0.629901960784314	0.708333333333333	0.950980392156863	0.558823529411765	0.696078431372549	0.774509803921569	0.654411764705882	0.730392156862745	0.843137254901961	0.465686274509804	0.823529411764706	0.877450980392157	0.870098039215686	0.865196078431373	0.859595501850374	0.767156862745098	0.821078431372549	0.816176470588235	0.54239702654778	0.955882352941177	0.732843137254902	0.732843137254902	0.764315706358178	0.756591190644337	0.928921568627451	0.698529411764706	0.921568627450981	0.708333333333333	0.901960784313726	0.661764705882353	0.806372549019608	0.830165698648649	0.75033676420813	0.688725490196079	0.784313725490196	0.676470588235294	0.567211766409246	0.801470588235294	0.730392156862745	0.774509803921569	0.735304975943526	0.762722399644697	0.906862745098039	0.848039215686275	0.732843137254902	0.811772071647571	0.743102530843547	0.849584580556457	0.754901960784314	0.752450980392157	0.848351511499046	0.821078431372549	0.794604686446565	0.567211766409246	0.801494887317413	0.83752314944908	0.776960784313726	0.737102961998184	0.706548569896735	0.79417947997989	0.626537517698457	0.673255705346627	0.822990407487047	0.572460603076987	0.629839365567911	0.559967409866582
Phyllobacterium	0.884803921568628	0.644607843137255	0.823529411764706	1	0.534313725490196	0.686274509803922	0.781862745098039	0.740196078431373	0.615196078431373	0.833333333333333	0.705882352941177	0.642156862745098	0.656862745098039	0.786764705882353	0.536764705882353	0.740196078431373	0.607843137254902	0.683823529411765	0.799019607843137	0.514705882352941	0.676470588235294	0.676470588235294	0.552827221498638	0.651960784313726	0.610294117647059	0.779411764705882	0.723039215686275	0.392156862745098	0.759803921568628	0.845588235294118	0.683823529411765	0.70343137254902	0.647058823529412	0.700980392156863	0.754901960784314	0.551470588235294	0.507352941176471	0.764705882352941	0.54656862745098	0.71078431372549	0.644607843137255	0.595588235294118	0.534313725490196	0.745098039215686	0.495098039215686	0.686274509803922	0.848039215686275	0.66421568627451	0.686274509803922	0.820355764248074	0.426470588235294	0.732843137254902	0.718137254901961	0.474753979357064	0.772058823529412	0.455882352941177	0.811274509803922	0.740430840534485	0.719803936642182	0.830882352941177	0.654411764705882	0.825980392156863	0.730392156862745	0.781862745098039	0.61764705882353	0.823529411764706	0.795830928246637	0.769126499538884	0.82843137254902	0.634803921568628	0.715686274509804	0.572144042638892	0.480392156862745	0.583333333333333	0.705882352941177	0.62632451102515	0.816677038847858	0.818627450980392	0.698529411764706	0.779411764705882	0.687921649840313	0.778663543045631	0.791630334858121	0.700980392156863	0.661764705882353	0.716413122356026	0.74264705882353	0.744328772643619	0.606669976246411	0.705315500839323	0.7713060922452	0.70343137254902	0.739559971871512	0.639962840796519	0.742820870075828	0.535628152385347	0.663391152887335	0.672672524841011	0.215455631792652	0.693331237096934	0.639583629278892
Lentzea	0.71078431372549	0.877450980392157	0.803921568627451	0.534313725490196	1	0.803921568627451	0.747549019607843	0.772058823529412	0.816176470588235	0.607843137254902	0.544117647058824	0.411764705882353	0.607843137254902	0.33578431372549	0.294117647058824	0.519607843137255	0.639705882352941	0.615196078431373	0.551470588235294	0.674019607843137	0.480392156862745	0.563725490196079	0.28009912555931	0.526960784313726	0.450980392156863	0.82843137254902	0.683823529411765	0.5	0.436274509803922	0.465686274509804	0.514705882352941	0.45343137254902	0.431372549019608	0.477941176470588	0.284313725490196	0.436274509803922	0.688725490196079	0.67156862745098	0.397058823529412	0.406862745098039	0.681372549019608	0.424019607843137	0.683823529411765	0.519607843137255	0.33578431372549	0.482843137254902	0.593137254901961	0.725490196078431	0.583333333333333	0.475781818427882	0.727941176470588	0.522058823529412	0.563725490196079	0.33445728888743	0.757352941176471	0.774509803921569	0.46078431372549	0.613044889474789	0.462293158627091	0.70343137254902	0.468137254901961	0.612745098039216	0.573529411764706	0.598039215686275	0.411764705882353	0.45343137254902	0.464745642227235	0.528617887305227	0.375	0.723039215686275	0.458333333333333	0.397048236486472	0.75	0.627450980392157	0.519607843137255	0.479764575445265	0.54077263383169	0.678921568627451	0.70343137254902	0.45343137254902	0.589822305834565	0.570202437033415	0.575843249811126	0.536764705882353	0.473039215686275	0.611602252476056	0.5	0.618025867236217	0.299635780950971	0.679421050633684	0.66584929743902	0.482843137254902	0.565112270865275	0.420476548577289	0.592502987429792	0.488944964792129	0.489528415792327	0.460974840114511	0.660146034620508	0.340316431395565	0.376850105218269
Pseudoxanthomonas	0.737745098039216	0.818627450980392	0.879901960784314	0.686274509803922	0.803921568627451	1	0.821078431372549	0.776960784313726	0.718137254901961	0.840686274509804	0.676470588235294	0.450980392156863	0.580882352941177	0.428921568627451	0.291666666666667	0.632352941176471	0.740196078431373	0.629901960784314	0.583333333333333	0.649509803921569	0.615196078431373	0.519607843137255	0.356266431632456	0.644607843137255	0.455882352941177	0.916666666666667	0.818627450980392	0.526960784313726	0.700980392156863	0.534313725490196	0.443627450980392	0.534313725490196	0.482843137254902	0.642156862745098	0.526960784313726	0.450980392156863	0.575980392156863	0.865196078431373	0.306372549019608	0.490196078431373	0.634803921568628	0.446078431372549	0.674019607843137	0.656862745098039	0.340686274509804	0.654411764705882	0.70343137254902	0.776960784313726	0.661764705882353	0.778663543045631	0.732843137254902	0.725490196078431	0.700980392156863	0.363268216394587	0.786764705882353	0.693627450980392	0.563725490196079	0.538736418023299	0.576333646033774	0.799019607843137	0.551470588235294	0.799019607843137	0.526960784313726	0.845588235294118	0.637254901960784	0.627450980392157	0.627835801636792	0.727789081811225	0.426470588235294	0.825980392156863	0.475490196078431	0.321831023984376	0.691176470588235	0.615196078431373	0.634803921568628	0.569955305032887	0.629062043436864	0.759803921568628	0.732843137254902	0.536764705882353	0.689147891640385	0.583691096834205	0.664624221944747	0.647058823529412	0.568627450980392	0.71148084612638	0.691176470588235	0.599632240235139	0.4217096176347	0.543783454318429	0.637645736037367	0.625	0.592139379471875	0.657225807600278	0.567450006988786	0.422605698212292	0.51788900411279	0.730294379855325	0.569955305032887	0.523173021399152	0.3848117271595
Sphingomonas	0.919117647058824	0.818627450980392	0.963235294117647	0.781862745098039	0.747549019607843	0.821078431372549	1	0.926470588235294	0.79656862745098	0.825980392156863	0.776960784313726	0.774509803921569	0.745098039215686	0.720588235294118	0.620098039215686	0.811274509803922	0.774509803921569	0.833333333333333	0.877450980392157	0.747549019607843	0.740196078431373	0.791666666666667	0.606881438711838	0.764705882352941	0.715686274509804	0.774509803921569	0.926470588235294	0.66421568627451	0.799019607843137	0.821078431372549	0.66421568627451	0.825980392156863	0.718137254901961	0.752450980392157	0.74264705882353	0.678921568627451	0.730392156862745	0.941176470588235	0.639705882352941	0.745098039215686	0.806372549019608	0.71078431372549	0.772058823529412	0.901960784313726	0.54656862745098	0.850490196078431	0.901960784313726	0.840686274509804	0.860294117647059	0.858369260050302	0.745098039215686	0.870098039215686	0.843137254901961	0.692714909193816	0.955882352941177	0.764705882352941	0.762254901960784	0.772277328299409	0.827713215048505	0.938725490196079	0.745098039215686	0.899509803921569	0.718137254901961	0.889705882352941	0.725490196078431	0.845588235294118	0.859595501850374	0.775389744649136	0.723039215686275	0.740196078431373	0.730392156862745	0.631331357394639	0.75	0.776960784313726	0.784313725490196	0.769126499538884	0.71857769484211	0.924019607843137	0.860294117647059	0.784313725490196	0.830165698648649	0.749233739843906	0.879178237934331	0.838235294117647	0.786764705882353	0.865614478302806	0.823529411764706	0.793378444646493	0.57954245698336	0.813825577891527	0.849785567449799	0.764705882352941	0.793614189084712	0.766968953709893	0.755347360296331	0.710075853391584	0.655992738542867	0.830506301619349	0.658893385598458	0.584125218067014	0.581198401709865
Chryseobacterium	0.865196078431373	0.833333333333333	0.946078431372549	0.740196078431373	0.772058823529412	0.776960784313726	0.926470588235294	1	0.786764705882353	0.74264705882353	0.725490196078431	0.745098039215686	0.66421568627451	0.644607843137255	0.600490196078431	0.740196078431373	0.757352941176471	0.79656862745098	0.865196078431373	0.723039215686275	0.776960784313726	0.654411764705882	0.594596389345202	0.656862745098039	0.549019607843137	0.764705882352941	0.901960784313726	0.644607843137255	0.637254901960784	0.713235294117647	0.666666666666667	0.754901960784314	0.558823529411765	0.79656862745098	0.683823529411765	0.514705882352941	0.681372549019608	0.911764705882353	0.5	0.627450980392157	0.688725490196079	0.580882352941177	0.79656862745098	0.857843137254902	0.45343137254902	0.723039215686275	0.887254901960784	0.850490196078431	0.879901960784314	0.781116026645775	0.730392156862745	0.78921568627451	0.745098039215686	0.589997689385692	0.919117647058824	0.781862745098039	0.622549019607843	0.793508320142692	0.841201874849296	0.855392156862745	0.588235294117647	0.811274509803922	0.642156862745098	0.79656862745098	0.605392156862745	0.70343137254902	0.777437301245559	0.742820870075828	0.615196078431373	0.676470588235294	0.580882352941177	0.635030564566873	0.811274509803922	0.644607843137255	0.659313725490196	0.785410936825538	0.64622942863787	0.825980392156863	0.75	0.615196078431373	0.736971321843188	0.678111715439738	0.760803608422836	0.79656862745098	0.715686274509804	0.762036677480248	0.718137254901961	0.71857769484211	0.524054349399847	0.797795680145178	0.826486973248433	0.696078431372549	0.734645952124857	0.625166012107582	0.717767889634822	0.542999182005329	0.622699873992759	0.726536432789174	0.620061265914899	0.540950745427279	0.607737141513968
Massilia	0.747549019607843	0.948529411764706	0.82843137254902	0.615196078431373	0.816176470588235	0.718137254901961	0.79656862745098	0.786764705882353	1	0.637254901960784	0.872549019607843	0.438725490196078	0.904411764705882	0.45343137254902	0.330882352941177	0.713235294117647	0.911764705882353	0.502450980392157	0.659313725490196	0.774509803921569	0.32843137254902	0.803921568627451	0.28009912555931	0.850490196078431	0.723039215686275	0.700980392156863	0.803921568627451	0.29656862745098	0.602941176470588	0.691176470588235	0.357843137254902	0.693627450980392	0.740196078431373	0.362745098039216	0.490196078431373	0.693627450980392	0.892156862745098	0.686274509803922	0.470588235294118	0.700980392156863	0.916666666666667	0.747549019607843	0.46078431372549	0.54656862745098	0.174019607843137	0.735294117647059	0.632352941176471	0.926470588235294	0.659313725490196	0.671980506439379	0.897058823529412	0.637254901960784	0.759803921568628	0.409616230210448	0.838235294117647	0.607843137254902	0.637254901960784	0.573236779768634	0.523605248630684	0.745098039215686	0.735294117647059	0.779411764705882	0.821078431372549	0.79656862745098	0.718137254901961	0.602941176470588	0.7320663546429	0.351994375196134	0.666666666666667	0.791666666666667	0.715686274509804	0.373619924395655	0.882352941176471	0.838235294117647	0.757352941176471	0.567450006988786	0.524831490430756	0.720588235294118	0.909313725490196	0.622549019607843	0.788473477446206	0.668301781039163	0.759570539365425	0.512254901960784	0.767156862745098	0.831088544695286	0.764705882352941	0.80441462084714	0.59680542378712	0.79039726580071	0.847333083849655	0.71078431372549	0.648650606558402	0.564745628294423	0.66640927973076	0.683048744784984	0.766968953709893	0.691462260171766	0.536133781437529	0.62729969070675	0.445850828708937
Herbaspirillum	0.78921568627451	0.70343137254902	0.877450980392157	0.833333333333333	0.607843137254902	0.840686274509804	0.825980392156863	0.74264705882353	0.637254901960784	1	0.767156862745098	0.475490196078431	0.637254901960784	0.676470588235294	0.348039215686275	0.799019607843137	0.720588235294118	0.531862745098039	0.762254901960784	0.74264705882353	0.595588235294118	0.674019607843137	0.385750550112383	0.720588235294118	0.66421568627451	0.830882352941177	0.818627450980392	0.352941176470588	0.870098039215686	0.776960784313726	0.544117647058824	0.727941176470588	0.688725490196079	0.745098039215686	0.683823529411765	0.642156862745098	0.605392156862745	0.855392156862745	0.522058823529412	0.686274509803922	0.691176470588235	0.649509803921569	0.600490196078431	0.786764705882353	0.399509803921569	0.79656862745098	0.794117647058824	0.727941176470588	0.669117647058824	0.85714301825023	0.610294117647059	0.745098039215686	0.818627450980392	0.460974840114511	0.799019607843137	0.522058823529412	0.75	0.687353360926279	0.565297469833127	0.899509803921569	0.715686274509804	0.872549019607843	0.629901960784314	0.870098039215686	0.607843137254902	0.86764705882353	0.793378444646493	0.734052326921476	0.708333333333333	0.772058823529412	0.661764705882353	0.371153786280833	0.57843137254902	0.678921568627451	0.803921568627451	0.536133781437529	0.810545829847499	0.860294117647059	0.754901960784314	0.752450980392157	0.740650047243403	0.681790440839954	0.810126370719292	0.593137254901961	0.720588235294118	0.775600437111773	0.872549019607843	0.680564199039882	0.545016523375841	0.573377111696303	0.660944330238732	0.767156862745098	0.582311339978566	0.722578467643083	0.701483452348168	0.61425246833182	0.577076318868537	0.845538089883953	0.335709937909481	0.634918715290233	0.456466324630579
