TAD2	TAD3	TAD4	TAD6	TAD7	TAD9	TAD10	species	ID
bacOTU_1	1.08365843086259	59.8179453836151	2.46578720256442	1.15553501271089	49.1373662371697	0	0	bac	bacOTU_1
bacOTU_8	278.500216731686	120.936280884265	62.8775736653927	93.5983360295817	185.630050229308	305.60486938879	241.513484502885	bac	bacOTU_8
bacOTU_5	542.912873862159	309.492847854356	659.598076685982	718.742777906171	686.831185848439	471.722039056556	183.818596538307	bac	bacOTU_5
bacOTU_3	2116.38491547464	1085.82574772432	1938.10874121563	1522.99514675295	1125.79165756715	1718.23484656353	618.542868643499	bac	bacOTU_3
bacOTU_10	247.074122236671	52.0156046814044	161.509061767969	62.3988906863878	384.363398121861	174.993659650013	93.9219106400107	bac	bacOTU_10
bacOTU_28	124.620719549198	74.1222366710013	154.111700160276	26.5773052923504	214.020528499672	96.3733198072534	72.4540453508654	bac	bacOTU_28
bacOTU_9	230.819245773732	248.374512353706	219.455061028233	571.989831291888	173.618694038	297.996449404007	550.114048034349	bac	bacOTU_9
bacOTU_4	219.982661465106	344.603381014304	361.237825175687	385.948694245436	214.020528499672	399.442049201116	637.327250771501	bac	bacOTU_4
bacOTU_13	92.1109666233203	83.2249674902471	94.9328072987301	161.774901779524	284.996724175584	68.4757798630484	55.0114048034349	bac	bacOTU_13
bacOTU_27	50.9319462505418	50.7152145643693	626.309949451362	197.596487173561	299.191963310767	39.3101699213797	351.536294109754	bac	bacOTU_27
bacOTU_6	48.7646293888167	2569.57087126138	49.3157440512884	307.372313381095	66.6084297881633	96.3733198072534	676.237756608077	bac	bacOTU_6
bacOTU_7	253.576072821847	131.339401820546	399.457526815436	285.417148139589	260.974011792968	426.071519147857	132.832416476587	bac	bacOTU_7
bacOTU_70	94.2782834850455	62.4187256176853	204.660337812847	32.3549803559048	93.906966586591	188.942429622115	159.667248088018	bac	bacOTU_70
bacOTU_20	124.620719549198	123.537061118336	98.6314881025768	307.372313381095	27.2985367984276	178.797869642404	244.196967664028	bac	bacOTU_20
bacOTU_22	92.1109666233203	347.204161248374	160.276168166687	130.57545643633	134.308801048264	150.900329698199	202.602978666309	bac	bacOTU_22
bacOTU_19	80.1907238838318	75.4226267880364	92.4670200961657	49.6880055465681	200.917230836427	67.2077098655846	99.2888769622971	bac	bacOTU_19
bacOTU_32	89.9436497615951	52.0156046814044	75.2065096782148	164.085971804946	120.113561913081	60.8673598782653	61.7201127062928	bac	bacOTU_32
bacOTU_53	36.8443866493281	40.3120936280884	48.0828504500062	13.8664201525306	50.2293077091068	72.27998985544	32.201797933718	bac	bacOTU_53
bacOTU_26	179.88729952319	45.5136540962289	59.1788928615461	26.5773052923504	137.584625464075	86.2287598275425	69.7705621897223	bac	bacOTU_26
bacOTU_11	70.4377980060685	79.3237971391417	43.1512760448773	13.8664201525306	127.757152216641	32.9698199340604	105.997584865155	bac	bacOTU_11
bacOTU_48	70.4377980060685	83.2249674902471	56.7131056589816	65.8654957245205	72.0681371478489	71.0119198579762	37.5687642560043	bac	bacOTU_48
bacOTU_16	62.8521889900303	305.591677503251	152.878806558994	97.0649410677143	27.2985367984276	289.11995942176	101.97236012344	bac	bacOTU_16
