OTU_45	bacOTU_880	OTU_24	bacOTU_495	bacOTU_170	bacOTU_232	bacOTU_272	OTU_179	OTU_166
OTU_45	1	0.904761904761905	0.928571428571429	0.928571428571429	0.880952380952381	0.857142857142857	0.880952380952381	0.886243433815812	0.97007727214974
bacOTU_880	0.904761904761905	1	0.80952380952381	0.904761904761905	0.904761904761905	0.785714285714286	0.904761904761905	0.69462323190969	0.874267171196679
OTU_24	0.928571428571429	0.80952380952381	1	0.80952380952381	0.714285714285714	0.880952380952381	0.714285714285714	0.97007727214974	0.850314645958414
bacOTU_495	0.928571428571429	0.904761904761905	0.80952380952381	1	0.952380952380953	0.880952380952381	0.952380952380953	0.706599494528823	0.97007727214974
bacOTU_170	0.880952380952381	0.904761904761905	0.714285714285714	0.952380952380953	1	0.833333333333333	1	0.59881313095663	0.946124746911475
bacOTU_232	0.857142857142857	0.785714285714286	0.880952380952381	0.880952380952381	0.833333333333333	1	0.833333333333333	0.778457070243618	0.874267171196679
bacOTU_272	0.880952380952381	0.904761904761905	0.714285714285714	0.952380952380953	1	0.833333333333333	1	0.59881313095663	0.946124746911475
OTU_179	0.886243433815812	0.69462323190969	0.97007727214974	0.706599494528823	0.59881313095663	0.778457070243618	0.59881313095663	1	0.789156626506024
OTU_166	0.97007727214974	0.874267171196679	0.850314645958414	0.97007727214974	0.946124746911475	0.874267171196679	0.946124746911475	0.789156626506024	1
