Promicromonospora	Flavobacterium	Rhizobium	Phyllobacterium	Lentzea	Pseudoxanthomonas	Sphingomonas	Chryseobacterium	Massilia	Herbaspirillum	Devosia	g__Acremonium	Kribbella	g__Lachnella	g__Scytalidium	Mycobacterium	Caulobacter	Microbacterium	g__Ophiosphaerella	Steroidobacter	Sphingopyxis	Agromyces	g__Gibberella	Bradyrhizobium	Solirubrobacter	Bosea	Lysobacter	g__Pyrenochaetopsis	Burkholderia	Bacillus	Glycomyces	Amycolatopsis	Gaiella	Sphingobium	g__Chrysosporium	Conexibacter	Saccharibacteria_genera_incertae_sedis	Luteimonas	Pseudonocardia	g__Exophiala	Phenylobacterium	Terrabacter	Brevundimonas	Achromobacter	g__Cyphellophora	Microvirga	Novosphingobium	Kaistia	g__Bipolaris	Chitinophaga
Promicromonospora	1	0.779411764705882	0.924019607843137	0.884803921568628	0.71078431372549	0.737745098039216	0.919117647058824	0.865196078431373	0.747549019607843	0.78921568627451	0.715686274509804	0.772058823529412	0.767156862745098	0.816176470588235	0.67156862745098	0.821078431372549	0.708333333333333	0.803921568627451	0.901960784313726	0.642156862745098	0.693627450980392	0.786764705882353	0.717446883011566	0.708333333333333	0.732843137254902	0.740196078431373	0.862745098039216	0.639705882352941	0.821078431372549	0.892156862745098	0.764705882352941	0.794117647058824	0.723039215686275	0.720588235294118	0.727941176470588	0.691176470588235	0.669117647058824	0.879901960784314	0.737745098039216	0.784313725490196	0.720588235294118	0.708333333333333	0.659313725490196	0.843137254901961	0.622549019607843	0.794117647058824	0.909313725490196	0.786764705882353	0.865196078431373	0.842428116649368
Flavobacterium	0.779411764705882	1	0.86764705882353	0.644607843137255	0.877450980392157	0.818627450980392	0.818627450980392	0.833333333333333	0.948529411764706	0.70343137254902	0.808823529411765	0.441176470588235	0.838235294117647	0.509803921568628	0.392156862745098	0.708333333333333	0.892156862745098	0.561274509803922	0.634803921568628	0.821078431372549	0.448529411764706	0.757352941176471	0.299755204545928	0.808823529411765	0.66421568627451	0.823529411764706	0.845588235294118	0.377450980392157	0.642156862745098	0.642156862745098	0.448529411764706	0.66421568627451	0.678921568627451	0.495098039215686	0.490196078431373	0.654411764705882	0.857843137254902	0.767156862745098	0.441176470588235	0.659313725490196	0.833333333333333	0.686274509803922	0.536764705882353	0.58578431372549	0.269607843137255	0.691176470588235	0.71078431372549	0.933823529411765	0.71078431372549	0.68546916624017
Rhizobium	0.924019607843137	0.86764705882353	1	0.823529411764706	0.803921568627451	0.879901960784314	0.963235294117647	0.946078431372549	0.82843137254902	0.877450980392157	0.794117647058824	0.669117647058824	0.740196078431373	0.66421568627451	0.534313725490196	0.821078431372549	0.813725490196079	0.75	0.865196078431373	0.745098039215686	0.691176470588235	0.732843137254902	0.557741241245293	0.74264705882353	0.656862745098039	0.850490196078431	0.921568627450981	0.598039215686275	0.78921568627451	0.794117647058824	0.620098039215686	0.781862745098039	0.669117647058824	0.752450980392157	0.71078431372549	0.629901960784314	0.708333333333333	0.950980392156863	0.558823529411765	0.696078431372549	0.774509803921569	0.654411764705882	0.730392156862745	0.843137254901961	0.465686274509804	0.823529411764706	0.877450980392157	0.870098039215686	0.865196078431373	0.859595501850374
Phyllobacterium	0.884803921568628	0.644607843137255	0.823529411764706	1	0.534313725490196	0.686274509803922	0.781862745098039	0.740196078431373	0.615196078431373	0.833333333333333	0.705882352941177	0.642156862745098	0.656862745098039	0.786764705882353	0.536764705882353	0.740196078431373	0.607843137254902	0.683823529411765	0.799019607843137	0.514705882352941	0.676470588235294	0.676470588235294	0.552827221498638	0.651960784313726	0.610294117647059	0.779411764705882	0.723039215686275	0.392156862745098	0.759803921568628	0.845588235294118	0.683823529411765	0.70343137254902	0.647058823529412	0.700980392156863	0.754901960784314	0.551470588235294	0.507352941176471	0.764705882352941	0.54656862745098	0.71078431372549	0.644607843137255	0.595588235294118	0.534313725490196	0.745098039215686	0.495098039215686	0.686274509803922	0.848039215686275	0.66421568627451	0.686274509803922	0.820355764248074
Lentzea	0.71078431372549	0.877450980392157	0.803921568627451	0.534313725490196	1	0.803921568627451	0.747549019607843	0.772058823529412	0.816176470588235	0.607843137254902	0.544117647058824	0.411764705882353	0.607843137254902	0.33578431372549	0.294117647058824	0.519607843137255	0.639705882352941	0.615196078431373	0.551470588235294	0.674019607843137	0.480392156862745	0.563725490196079	0.28009912555931	0.526960784313726	0.450980392156863	0.82843137254902	0.683823529411765	0.5	0.436274509803922	0.465686274509804	0.514705882352941	0.45343137254902	0.431372549019608	0.477941176470588	0.284313725490196	0.436274509803922	0.688725490196079	0.67156862745098	0.397058823529412	0.406862745098039	0.681372549019608	0.424019607843137	0.683823529411765	0.519607843137255	0.33578431372549	0.482843137254902	0.593137254901961	0.725490196078431	0.583333333333333	0.475781818427882
Pseudoxanthomonas	0.737745098039216	0.818627450980392	0.879901960784314	0.686274509803922	0.803921568627451	1	0.821078431372549	0.776960784313726	0.718137254901961	0.840686274509804	0.676470588235294	0.450980392156863	0.580882352941177	0.428921568627451	0.291666666666667	0.632352941176471	0.740196078431373	0.629901960784314	0.583333333333333	0.649509803921569	0.615196078431373	0.519607843137255	0.356266431632456	0.644607843137255	0.455882352941177	0.916666666666667	0.818627450980392	0.526960784313726	0.700980392156863	0.534313725490196	0.443627450980392	0.534313725490196	0.482843137254902	0.642156862745098	0.526960784313726	0.450980392156863	0.575980392156863	0.865196078431373	0.306372549019608	0.490196078431373	0.634803921568628	0.446078431372549	0.674019607843137	0.656862745098039	0.340686274509804	0.654411764705882	0.70343137254902	0.776960784313726	0.661764705882353	0.778663543045631
Sphingomonas	0.919117647058824	0.818627450980392	0.963235294117647	0.781862745098039	0.747549019607843	0.821078431372549	1	0.926470588235294	0.79656862745098	0.825980392156863	0.776960784313726	0.774509803921569	0.745098039215686	0.720588235294118	0.620098039215686	0.811274509803922	0.774509803921569	0.833333333333333	0.877450980392157	0.747549019607843	0.740196078431373	0.791666666666667	0.606881438711838	0.764705882352941	0.715686274509804	0.774509803921569	0.926470588235294	0.66421568627451	0.799019607843137	0.821078431372549	0.66421568627451	0.825980392156863	0.718137254901961	0.752450980392157	0.74264705882353	0.678921568627451	0.730392156862745	0.941176470588235	0.639705882352941	0.745098039215686	0.806372549019608	0.71078431372549	0.772058823529412	0.901960784313726	0.54656862745098	0.850490196078431	0.901960784313726	0.840686274509804	0.860294117647059	0.858369260050302
Chryseobacterium	0.865196078431373	0.833333333333333	0.946078431372549	0.740196078431373	0.772058823529412	0.776960784313726	0.926470588235294	1	0.786764705882353	0.74264705882353	0.725490196078431	0.745098039215686	0.66421568627451	0.644607843137255	0.600490196078431	0.740196078431373	0.757352941176471	0.79656862745098	0.865196078431373	0.723039215686275	0.776960784313726	0.654411764705882	0.594596389345202	0.656862745098039	0.549019607843137	0.764705882352941	0.901960784313726	0.644607843137255	0.637254901960784	0.713235294117647	0.666666666666667	0.754901960784314	0.558823529411765	0.79656862745098	0.683823529411765	0.514705882352941	0.681372549019608	0.911764705882353	0.5	0.627450980392157	0.688725490196079	0.580882352941177	0.79656862745098	0.857843137254902	0.45343137254902	0.723039215686275	0.887254901960784	0.850490196078431	0.879901960784314	0.781116026645775
Massilia	0.747549019607843	0.948529411764706	0.82843137254902	0.615196078431373	0.816176470588235	0.718137254901961	0.79656862745098	0.786764705882353	1	0.637254901960784	0.872549019607843	0.438725490196078	0.904411764705882	0.45343137254902	0.330882352941177	0.713235294117647	0.911764705882353	0.502450980392157	0.659313725490196	0.774509803921569	0.32843137254902	0.803921568627451	0.28009912555931	0.850490196078431	0.723039215686275	0.700980392156863	0.803921568627451	0.29656862745098	0.602941176470588	0.691176470588235	0.357843137254902	0.693627450980392	0.740196078431373	0.362745098039216	0.490196078431373	0.693627450980392	0.892156862745098	0.686274509803922	0.470588235294118	0.700980392156863	0.916666666666667	0.747549019607843	0.46078431372549	0.54656862745098	0.174019607843137	0.735294117647059	0.632352941176471	0.926470588235294	0.659313725490196	0.671980506439379
Herbaspirillum	0.78921568627451	0.70343137254902	0.877450980392157	0.833333333333333	0.607843137254902	0.840686274509804	0.825980392156863	0.74264705882353	0.637254901960784	1	0.767156862745098	0.475490196078431	0.637254901960784	0.676470588235294	0.348039215686275	0.799019607843137	0.720588235294118	0.531862745098039	0.762254901960784	0.74264705882353	0.595588235294118	0.674019607843137	0.385750550112383	0.720588235294118	0.66421568627451	0.830882352941177	0.818627450980392	0.352941176470588	0.870098039215686	0.776960784313726	0.544117647058824	0.727941176470588	0.688725490196079	0.745098039215686	0.683823529411765	0.642156862745098	0.605392156862745	0.855392156862745	0.522058823529412	0.686274509803922	0.691176470588235	0.649509803921569	0.600490196078431	0.786764705882353	0.399509803921569	0.79656862745098	0.794117647058824	0.727941176470588	0.669117647058824	0.85714301825023
