microbial load
Variovorax	3.52940254407141e-05
Flavobacterium	1.79990088466657e-06
Actinoplanes	1.79990088466657e-06
Lentzea	1.37157358354775e-05
Streptomyces	8.0604905010656e-05
Pseudoxanthomonas	2.49422017836612e-06
Rhizobium	1.67250353013632e-07
Promicromonospora	1.79990088466657e-06
Nocardioides	2.34553129468464e-06
g__Podospora	0.0130106611291627
Pseudomonas	0.000707938219180937
Massilia	1.6843293745317e-06
Umezawaea	4.67784660133167e-06
Devosia	5.78969461275132e-07
Galbitalea	4.02355394017482e-06
Sphingomonas	1.95808097929362e-07
Mesorhizobium	1.79990088466657e-06
Herbaspirillum	3.18446632924646e-06
Caulobacter	1.87038107553368e-05
Phyllobacterium	4.67784660133167e-06
Kribbella	1.22214529118857e-05
Arthrobacter	9.14644911510439e-07
Shinella	1.95808097929362e-07
Aeromicrobium	3.37298221007404e-05
Kineosporia	5.09240621505348e-05
g__Cladosporium	0.000931924795121666
Chondromyces	4.99838777909418e-07
Rudaibacter	1.37157358354775e-05
g__Mycosphaerella	0.00155075143198275
Steroidobacter	1.95808097929362e-07
g__Nigrospora	0.0105637687717672
Stenotrophomonas	0.00544656292819192
Pantoea	0.000586534815789891
g__Mortierella	0.000155150839985719
Ideonella	2.15556821930617e-05
Rhodanobacter	0.00249989867849069
Bradyrhizobium	1.79990088466657e-06
Phycicoccus	8.0604905010656e-05
Chryseobacterium	0.00178939451888705
Agromyces	5.78969461275132e-07
Microbacterium	7.38456539463347e-05
Solirubrobacter	4.37056158622535e-06
Mycobacterium	6.9155297833825e-06
Bosea	4.18660058700067e-06
Altererythrobacter	4.67784660133167e-06
Aquabacterium	8.29079084226898e-06
g__Edenia	0.00234770953385479
Curtobacterium	0.00178939451888705
g__Metacordyceps	0.000362468989570853
Dactylosporangium	1.77741284845418e-05
