Promicromonospora	Rhizobium	Sphingomonas	Chryseobacterium	g__Ophiosphaerella	Lysobacter	Luteimonas	Novosphingobium	g__Bipolaris	Iamia	Nocardia	Reyranella	Rhizocola
Promicromonospora	1	0.924019607843137	0.919117647058824	0.865196078431373	0.901960784313726	0.862745098039216	0.879901960784314	0.909313725490196	0.865196078431373	0.924019607843137	0.798283411846781	0.911764705882353	0.844880600249511
Rhizobium	0.924019607843137	1	0.963235294117647	0.946078431372549	0.865196078431373	0.921568627450981	0.950980392156863	0.877450980392157	0.865196078431373	0.955882352941177	0.756591190644337	0.921568627450981	0.830165698648649
Sphingomonas	0.919117647058824	0.963235294117647	1	0.926470588235294	0.877450980392157	0.926470588235294	0.941176470588235	0.901960784313726	0.860294117647059	0.955882352941177	0.827713215048505	0.899509803921569	0.859595501850374
Chryseobacterium	0.865196078431373	0.946078431372549	0.926470588235294	1	0.865196078431373	0.901960784313726	0.911764705882353	0.887254901960784	0.879901960784314	0.919117647058824	0.841201874849296	0.811274509803922	0.777437301245559
g__Ophiosphaerella	0.901960784313726	0.865196078431373	0.877450980392157	0.865196078431373	1	0.857843137254902	0.843137254901961	0.86764705882353	0.83578431372549	0.901960784313726	0.774984817645415	0.825980392156863	0.862047985450517
Lysobacter	0.862745098039216	0.921568627450981	0.926470588235294	0.901960784313726	0.857843137254902	1	0.926470588235294	0.843137254901961	0.855392156862745	0.924019607843137	0.766401125044912	0.899509803921569	0.898835239452673
Luteimonas	0.879901960784314	0.950980392156863	0.941176470588235	0.911764705882353	0.843137254901961	0.926470588235294	1	0.897058823529412	0.904411764705882	0.887254901960784	0.809319588047427	0.906862745098039	0.826486973248433
Novosphingobium	0.909313725490196	0.877450980392157	0.901960784313726	0.887254901960784	0.86764705882353	0.843137254901961	0.897058823529412	1	0.848039215686275	0.852941176470588	0.87676288705138	0.852941176470588	0.816677038847858
g__Bipolaris	0.865196078431373	0.865196078431373	0.860294117647059	0.879901960784314	0.83578431372549	0.855392156862745	0.904411764705882	0.848039215686275	1	0.833333333333333	0.841201874849296	0.848039215686275	0.832618182248793
Iamia	0.924019607843137	0.955882352941177	0.955882352941177	0.919117647058824	0.901960784313726	0.924019607843137	0.887254901960784	0.852941176470588	0.833333333333333	1	0.757817432444409	0.904411764705882	0.838749391249152
Nocardia	0.798283411846781	0.756591190644337	0.827713215048505	0.841201874849296	0.774984817645415	0.766401125044912	0.809319588047427	0.87676288705138	0.841201874849296	0.757817432444409	1	0.719803936642182	0.756441717791411
Reyranella	0.911764705882353	0.921568627450981	0.899509803921569	0.811274509803922	0.825980392156863	0.899509803921569	0.906862745098039	0.852941176470588	0.848039215686275	0.904411764705882	0.719803936642182	1	0.901287723052817
Rhizocola	0.844880600249511	0.830165698648649	0.859595501850374	0.777437301245559	0.862047985450517	0.898835239452673	0.826486973248433	0.816677038847858	0.832618182248793	0.838749391249152	0.756441717791411	0.901287723052817	1
