ID,bacteria,spike,group,sample01,sample02,sample03,sample04,sample05,mean
89,Pro-1203,E0520,2,9.59,NA,7.46,8.59,9.62,8.814
90,Pro-1204,E0520,2,10.20,NA,8.03,8.84,10.60,9.417
91,Bac-186,E0520,1,22.11,NA,NA,27.69,24.91,24.904
92,Fir-11,E0520,1,24.43,NA,NA,19.42,22.25,22.034
93,Act-101,E0520,1,10.87,NA,NA,12.36,11.31,11.510
94,Act-135,E0520,1,4.03,NA,NA,4.16,3.87,4.019
95,Act-140,E0520,1,8.91,NA,NA,12.35,9.82,10.357
96,Pro-670,E0520,1,5.57,NA,NA,4.40,5.08,5.016
97,Pro-672,E0520,1,3.56,NA,NA,2.60,3.24,3.133
98,Pro-1203,E0520,1,10.10,NA,NA,8.02,9.07,9.066
99,Pro-1204,E0520,1,10.40,NA,NA,9.00,10.42,9.939
100,Bac-186,E0520,3,24.02,27.69,25.88,26.00,28.99,26.517
101,Fir-11,E0520,3,30.18,27.09,28.51,27.47,26.25,27.901
102,Act-101,E0520,3,11.16,11.85,12.23,12.03,12.24,11.901
103,Act-135,E0520,3,4.05,4.40,4.74,4.46,4.71,4.472
104,Act-140,E0520,3,9.92,10.05,10.00,10.32,10.29,10.118
105,Pro-670,E0520,3,4.01,3.55,3.70,3.59,3.51,3.671
106,Pro-672,E0520,3,2.66,2.43,2.36,2.39,2.17,2.403
107,Pro-1203,E0520,3,6.66,6.09,6.24,6.73,5.67,6.280
108,Pro-1204,E0520,3,7.32,6.84,6.30,6.98,6.14,6.715
109,Bac-186,E00,2,25.81,NA,30.87,28.69,22.45,26.953
110,Fir-11,E00,2,22.87,NA,17.19,19.85,23.77,20.920
111,Act-101,E00,2,10.64,NA,14.33,12.16,11.22,12.091
112,Act-135,E00,2,3.68,NA,4.73,4.34,3.57,4.079
113,Act-140,E00,2,7.85,NA,11.29,9.84,8.64,9.403
114,Pro-670,E00,2,5.71,NA,4.04,5.02,6.00,5.193
115,Pro-672,E00,2,3.31,NA,2.40,3.05,4.00,3.192
116,Pro-1203,E00,2,10.00,NA,7.46,8.29,9.82,8.893
117,Pro-1204,E00,2,10.11,NA,7.68,8.73,10.51,9.256
118,Bac-186,E00,1,21.57,NA,NA,27.33,24.34,24.414
119,Fir-11,E00,1,25.16,NA,NA,19.93,22.83,22.638
120,Act-101,E00,1,10.91,NA,NA,12.63,11.31,11.618
121,Act-135,E00,1,3.50,NA,NA,4.46,4.09,4.016
122,Act-140,E00,1,8.73,NA,NA,11.01,9.29,9.676
123,Pro-670,E00,1,5.65,NA,NA,5.00,5.53,5.392
124,Pro-672,E00,1,3.67,NA,NA,2.57,3.39,3.213
125,Pro-1203,E00,1,10.28,NA,NA,8.32,9.20,9.264
126,Pro-1204,E00,1,10.53,NA,NA,8.74,10.00,9.754
127,Bac-186,E00,3,24.70,27.72,26.46,26.51,28.71,26.822
128,Fir-11,E00,3,30.05,28.05,27.98,27.49,26.08,27.932
129,Act-101,E00,3,11.43,11.74,12.94,11.84,13.14,12.216
130,Act-135,E00,3,3.84,4.05,4.47,4.38,4.51,4.249
131,Act-140,E00,3,9.21,9.29,9.31,9.71,10.08,9.521
132,Pro-670,E00,3,4.09,3.80,3.88,3.75,3.29,3.761
133,Pro-672,E00,3,2.58,2.32,2.42,2.38,2.11,2.363
134,Pro-1203,E00,3,7.07,6.30,6.15,6.65,5.99,6.430
135,Pro-1204,E00,3,6.99,6.71,6.36,7.27,6.07,6.682
