No,Micro,Genotype,Type,Site,load
FunDMH6315,bac,MH63,Dry,HN,309.895048
FunDMH6301,fungi,MH63,Dry,HN,56.53815356
FunDMH6302,fungi,MH63,Dry,HN,82.32089485
FunDMH6303,fungi,MH63,Dry,HN,59.47245728
FunDMH6304,fungi,MH63,Dry,HN,55.60331747
FunDMH6305,fungi,MH63,Dry,HN,53.38922807
FunDMH6306,fungi,MH63,Dry,HN,41.36615997
FunDMH6307,fungi,MH63,Dry,HN,63.76334616
FunDMH6308,fungi,MH63,Dry,HN,33.23384168
FunDMH6309,fungi,MH63,Dry,HN,79.44780915
FunDMH6310,fungi,MH63,Dry,HN,44.97953304
FunDMH6311,fungi,MH63,Dry,HN,22.02051661
FunDMH6312,fungi,MH63,Dry,HN,29.24712962
FunDMH6313,fungi,MH63,Dry,HN,87.12887849
FunDMH6314,fungi,MH63,Dry,HN,102.0662396
FunDMH6315,fungi,MH63,Dry,HN,120.442057
FunWMH6302,bac,MH63,Wet,HN,112.9307475
FunWMH6303,bac,MH63,Wet,HN,126.3742971
FunWMH6304,bac,MH63,Wet,HN,116.5744893
FunWMH6305,bac,MH63,Wet,HN,82.23674381
FunWMH6306,bac,MH63,Wet,HN,82.14139587
FunWMH6308,bac,MH63,Wet,HN,83.14950045
FunWMH6309,bac,MH63,Wet,HN,93.89908831
FunWMH6310,bac,MH63,Wet,HN,74.84460701
FunWMH6311,bac,MH63,Wet,HN,96.77040115
FunWMH6312,bac,MH63,Wet,HN,92.65320334
FunWMH6313,bac,MH63,Wet,HN,136.1290922
FunWMH6314,bac,MH63,Wet,HN,136.3104245
FunWMH6315,bac,MH63,Wet,HN,56.31242295
FunWMH6302,fungi,MH63,Wet,HN,27.18502629
FunWMH6303,fungi,MH63,Wet,HN,35.22623286
FunWMH6304,fungi,MH63,Wet,HN,20.36815272
FunWMH6305,fungi,MH63,Wet,HN,41.88868163
FunWMH6306,fungi,MH63,Wet,HN,26.06948978
FunWMH6308,fungi,MH63,Wet,HN,21.8640507
FunWMH6309,fungi,MH63,Wet,HN,48.16770015
FunWMH6310,fungi,MH63,Wet,HN,42.51824094
FunWMH6311,fungi,MH63,Wet,HN,25.32076109
FunWMH6312,fungi,MH63,Wet,HN,28.84057956
FunWMH6313,fungi,MH63,Wet,HN,40.11571674
FunWMH6314,fungi,MH63,Wet,HN,47.67033874
FunWMH6315,fungi,MH63,Wet,HN,21.90381853
FunDWYJ01,bac,WYJ,Dry,HN,636.8147632
FunDWYJ03,bac,WYJ,Dry,HN,396.7974623
FunDWYJ04,bac,WYJ,Dry,HN,402.9792935
FunDWYJ06,bac,WYJ,Dry,HN,606.8554241
FunDWYJ08,bac,WYJ,Dry,HN,290.9504314
FunDWYJ09,bac,WYJ,Dry,HN,166.3821651
FunDWYJ11,bac,WYJ,Dry,HN,478.3421348
FunDWYJ12,bac,WYJ,Dry,HN,312.3798999
FunDWYJ13,bac,WYJ,Dry,HN,366.9319502
FunDWYJ14,bac,WYJ,Dry,HN,215.1833411
FunDWYJ15,bac,WYJ,Dry,HN,390.7859096
FunDWYJ01,fungi,WYJ,Dry,HN,231.5580451
FunDWYJ03,fungi,WYJ,Dry,HN,94.52309734
FunDWYJ04,fungi,WYJ,Dry,HN,144.921457
FunDWYJ06,fungi,WYJ,Dry,HN,147.5193557
FunDWYJ08,fungi,WYJ,Dry,HN,81.20043816
FunDWYJ09,fungi,WYJ,Dry,HN,86.38512769
FunDWYJ11,fungi,WYJ,Dry,HN,91.38878463
FunDWYJ12,fungi,WYJ,Dry,HN,102.6378363
FunDWYJ13,fungi,WYJ,Dry,HN,144.0137941
FunDWYJ14,fungi,WYJ,Dry,HN,111.2947034
FunDWYJ15,fungi,WYJ,Dry,HN,83.67565248
FunWWYJ01,bac,WYJ,Wet,HN,144.9637462
FunWWYJ02,bac,WYJ,Wet,HN,95.52926111
FunWWYJ03,bac,WYJ,Wet,HN,83.07672727
FunWWYJ04,bac,WYJ,Wet,HN,58.00635549
FunWWYJ05,bac,WYJ,Wet,HN,103.8018092
FunWWYJ06,bac,WYJ,Wet,HN,67.85892382
FunWWYJ08,bac,WYJ,Wet,HN,71.68858529
FunWWYJ09,bac,WYJ,Wet,HN,82.83902669
FunWWYJ10,bac,WYJ,Wet,HN,117.6510231
FunWWYJ11,bac,WYJ,Wet,HN,100.4699674
FunWWYJ12,bac,WYJ,Wet,HN,93.25634817
FunWWYJ13,bac,WYJ,Wet,HN,102.4439176
FunWWYJ15,bac,WYJ,Wet,HN,47.09864679
FunWWYJ01,fungi,WYJ,Wet,HN,42.15901469
FunWWYJ02,fungi,WYJ,Wet,HN,56.58177553
FunWWYJ03,fungi,WYJ,Wet,HN,52.31082173
FunWWYJ04,fungi,WYJ,Wet,HN,20.97955452
FunWWYJ05,fungi,WYJ,Wet,HN,100.0972812
FunWWYJ06,fungi,WYJ,Wet,HN,34.52986397
FunWWYJ08,fungi,WYJ,Wet,HN,32.39801188
FunWWYJ09,fungi,WYJ,Wet,HN,32.31600199
FunWWYJ10,fungi,WYJ,Wet,HN,57.75139747
FunWWYJ11,fungi,WYJ,Wet,HN,40.25727908
FunWWYJ12,fungi,WYJ,Wet,HN,39.89511035
FunWWYJ13,fungi,WYJ,Wet,HN,24.24926429
FunWWYJ15,fungi,WYJ,Wet,HN,20.11917603
bacfun01,bacfun,MH63,Dry,AH,191.9620629
bacfun02,bacfun,MH63,Dry,AH,225.4046579
bacfun03,bacfun,MH63,Dry,AH,91.75708236
bacfun04,bacfun,MH63,Dry,AH,101.5508807
bacfun05,bacfun,MH63,Dry,AH,88.42007575
bacfun06,bacfun,MH63,Dry,AH,233.8817423
bacfun07,bacfun,MH63,Dry,AH,200.7689807
bacfun08,bacfun,MH63,Dry,AH,114.1175969
bacfun09,bacfun,MH63,Wet,AH,89.56488593
bacfun10,bacfun,MH63,Wet,AH,61.38264768
bacfun11,bacfun,MH63,Wet,AH,64.19208787
