,spike,group,sample01,sample02,sample03,sample04,sample05,mean
Act-101,E05-5,1,0.303305785,NA,0.41450192,0.679034582,NA,0.465614096
Act-135,E05-5,1,0.119008264,NA,0.135983736,0.238472622,NA,0.164488208
Act-140,E05-5,1,0.258471074,NA,0.334989835,0.563400576,NA,0.385620495
Bac-186,E05-5,1,0.684297521,NA,0.921617348,1.314841499,NA,0.973585456
Fir-11,E05-5,1,0.733471074,NA,0.700474362,1.443443804,NA,0.959129747
Pro-1203,E05-5,1,0.303719008,NA,0.28077705,0.572766571,NA,0.38575421
Pro-1204,E05-5,1,0.304752066,NA,0.296137339,0.579610951,NA,0.393500119
Pro-670,E05-5,1,0.171280992,NA,0.167381974,0.340417867,NA,0.226360278
Pro-672,E05-5,1,0.10392562,NA,0.102552519,0.211455331,NA,0.139311157
Act-101,E04,1,0.381809788,1.063431247,0.590751445,1.005762179,NA,0.760438665
Act-135,E04,1,0.132502308,0.367390379,0.190462428,0.362493452,NA,0.263212142
Act-140,E04,1,0.251846722,0.862494679,0.470809249,0.843373494,NA,0.607131036
Bac-186,E04,1,0.917359187,2.342699021,1.309537572,2.08905186,NA,1.66466191
Fir-11,E04,1,0.820406279,1.128565347,0.916763006,2.151911996,NA,1.254411657
Pro-1203,E04,1,0.326638966,0.485312899,0.38265896,0.90623363,NA,0.525211114
Pro-1204,E04,1,0.333564174,0.522775649,0.393641618,0.935044526,NA,0.546256492
Pro-670,E04,1,0.171283472,0.275010643,0.198843931,0.492928235,NA,0.28451657
Pro-672,E04,1,0.113111727,0.157513836,0.117630058,0.31063384,NA,0.174722365
Act-101,E05,1,0.078885043,0.160458453,0.094696625,0.106272989,NA,0.110078278
Act-135,E05,1,0.028967025,0.052212671,0.031838443,0.034595884,NA,0.036903506
Act-140,E05,1,0.056932046,0.136474583,0.076594196,0.088975047,NA,0.089743968
Bac-186,E05,1,0.180633995,0.322190385,0.202765396,0.201312258,NA,0.226725509
Fir-11,E05,1,0.19028967,0.169266688,0.167834076,0.220200815,NA,0.186897812
Pro-1203,E05,1,0.071962106,0.070147511,0.054307286,0.086887365,NA,0.070826067
Pro-1204,E05,1,0.078065221,0.074286321,0.066132994,0.094343374,NA,0.078206977
Pro-670,E05,1,0.044999089,0.035445187,0.037114527,0.051396759,NA,0.042238891
Pro-672,E05,1,0.024959009,0.025151226,0.022104976,0.032011134,NA,0.026056586
Act-101,E05,3,0.103944045,0.095081368,0.107644744,0.111888792,0.095927922,0.102897374
Act-135,E05,3,0.034874684,0.032912781,0.036818437,0.036648197,0.033565939,0.034964008
Act-140,E05,3,0.086749563,0.074876577,0.082255949,0.093127248,0.077731649,0.082948197
Bac-186,E05,3,0.20691665,0.195008228,0.209574667,0.223583163,0.191502517,0.205317045
Fir-11,E05,3,0.271905965,0.2256354,0.224283305,0.241178186,0.182846038,0.229169779
Pro-1203,E05,3,0.056052069,0.050740538,0.04909125,0.057159522,0.04231075,0.051070826
Pro-1204,E05,3,0.059452108,0.047083562,0.052370245,0.058714883,0.042664076,0.052056975
Pro-670,E05,3,0.031377501,0.023770342,0.031572044,0.034120735,0.024467803,0.029061685
Pro-672,E05,3,0.021177385,0.017004937,0.012179127,0.017011762,0.011748079,0.015824258
Act-101,E05-5,3,0.568215448,0.374391234,0.640776699,0.553223388,0.452111984,0.517743751
Act-135,E05-5,3,0.17875111,0.135146104,0.228311932,0.194602699,0.156188605,0.17860009
Act-140,E05-5,3,0.472329091,0.298498377,0.538365174,0.512743628,0.411836935,0.446754641
Bac-186,E05-5,3,1.007694584,0.732751623,1.281553398,1.249175412,1.03953831,1.062142666
Fir-11,E05-5,3,1.426161586,0.795657468,1.436266834,1.371814093,1.002210216,1.206422039
Pro-1203,E05-5,3,0.357798165,0.192775974,0.278734732,0.301049475,0.217092338,0.269490137
Pro-1204,E05-5,3,0.363421131,0.201095779,0.334168494,0.32113943,0.241159136,0.292196794
Pro-670,E05-5,3,0.204202427,0.116274351,0.175383652,0.16131934,0.125736739,0.156583302
Pro-672,E05-5,3,0.125184966,0.064529221,0.122455371,0.114842579,0.087180747,0.102838577
Act-101,E04,3,0.797929448,0.490176322,0.878152891,0.825567963,0.648689823,0.72810329
Act-135,E04,3,0.234279141,0.165239295,0.299573147,0.302271852,0.23187081,0.246646849
Act-140,E04,3,0.608128834,0.350881612,0.623593326,0.640354255,0.504265692,0.545444744
Bac-186,E04,3,1.610429448,1.118639798,1.77105161,1.7316134,1.403412553,1.527029362
Fir-11,E04,3,1.939800613,1.047355164,1.745440435,1.734308818,1.267824497,1.546945905
Pro-1203,E04,3,0.414110429,0.238790932,0.388824214,0.391990759,0.271785497,0.341100366
