,spike,group,sample01,sample02,sample03,sample04,sample05,mean
Asco-AF1,E05,1,0.622527847,0.658298632,0.721894219,0.643359981,NA,0.66152017
Asco-AF105,E05,1,1.067969993,1.116121356,1.14403444,1.14294237,NA,1.11776704
Basi-AF78,E05,1,0.676972039,0.750505651,0.778228782,0.748717337,NA,0.738605952
Asco-AF1,E05-5,1,1.785322539,1.768025078,1.930051116,1.762480294,NA,1.811469757
Asco-AF105,E05-5,1,2.845912771,2.927638454,2.951035782,2.971623752,NA,2.924052689
Basi-AF78,E05-5,1,2.106294072,2.043887147,2.089588378,2.05018392,NA,2.072488379
Asco-AF1,E05-10,1,2.764294049,2.771117166,2.905490196,2.607101947,NA,2.76200084
Asco-AF105,E05-10,1,4.498249708,4.497469833,4.485882353,4.514318442,NA,4.498980084
Basi-AF78,E05-10,1,3.260987942,3.263915921,3.227058824,3.190912562,NA,3.235718812
Asco-AF1,E05,2,0.513850688,0.475364529,0.554328938,NA,NA,0.514514718
Asco-AF105,E05,2,0.876915521,0.835414086,0.92773178,NA,NA,0.880020462
Basi-AF78,E05,2,0.519548134,0.512722768,0.546355924,NA,NA,0.526208942
Asco-AF1,E05-5,2,1.287379024,1.212366097,1.322625148,NA,NA,1.274123423
Asco-AF105,E05-5,2,2.112186451,1.964480361,2.114308238,NA,NA,2.06365835
Basi-AF78,E05-5,2,1.452103496,1.3910919,1.402049665,NA,NA,1.415081687
Asco-AF1,E05-10,2,1.840657859,1.76618896,1.860671141,NA,NA,1.822505987
Asco-AF105,E05-10,2,3.050148288,3.047239915,3.107919463,NA,NA,3.068435889
Basi-AF78,E05-10,2,2.097061202,2.049363057,1.984966443,NA,NA,2.043796901
Asco-AF1,E05,3,0.521594316,0.582892105,0.501184579,0.473189783,0.509377021,0.517647561
Asco-AF105,E05,3,0.918618852,0.995058242,0.859681241,0.835127718,0.87238629,0.896174469
Basi-AF78,E05,3,0.849117353,0.907989175,0.829636011,0.818872704,0.811489545,0.843420958
Asco-AF1,E05-5,3,1.316081331,1.407381288,1.202785398,1.210135708,1.361046781,1.299486101
Asco-AF105,E05-5,3,2.285582255,2.31993418,2.015615109,2.013358779,2.300602131,2.187018491
Basi-AF78,E05-5,3,2.243761553,2.237188528,2.033340367,2.058736217,2.199629458,2.154531225
Asco-AF1,E05-10,3,1.965640194,2.133061779,1.847956731,1.80866426,1.859494057,1.922963404
Asco-AF105,E05-10,3,3.351701783,3.561778683,3.004507212,3.060770156,3.104541298,3.216659826
Basi-AF78,E05-10,3,3.286223663,3.361846572,3.049879808,3.043622142,3.065833587,3.161481154
