ID,bacteria,spike,group,sample01,sample02,sample03,sample04,sample05,mean
63,Pro-1204,E04,2,33.36 ,NA,52.28 ,39.36 ,93.50 ,54.626 
64,Bac-186,E04,1,99.30 ,NA,NA,74.50 ,63.51 ,79.101 
65,Fir-11,E04,1,116.73 ,NA,NA,48.66 ,57.16 ,74.181 
66,Act-101,E04,1,53.73 ,NA,NA,35.76 ,30.18 ,39.889 
67,Act-135,E04,1,17.43 ,NA,NA,11.38 ,10.31 ,13.039 
68,Act-140,E04,1,42.61 ,NA,NA,30.84 ,23.88 ,32.443 
69,Pro-670,E04,1,24.77 ,NA,NA,11.42 ,12.30 ,16.159 
70,Pro-672,E04,1,15.11 ,NA,NA,7.46 ,7.85 ,10.139 
71,Pro-1203,E04,1,47.42 ,NA,NA,21.49 ,22.70 ,30.534 
72,Pro-1204,E04,1,48.53 ,NA,NA,23.44 ,23.79 ,31.921 
73,Bac-186,E04,3,161.04 ,111.86 ,177.11 ,173.16 ,140.34 ,152.703 
74,Fir-11,E04,3,193.98 ,104.74 ,174.54 ,173.43 ,126.78 ,154.695 
75,Act-101,E04,3,79.79 ,49.02 ,87.82 ,82.56 ,64.87 ,72.810 
76,Act-135,E04,3,23.43 ,16.52 ,29.96 ,30.23 ,23.19 ,24.665 
77,Act-140,E04,3,60.81 ,35.09 ,62.36 ,64.04 ,50.43 ,54.544 
78,Pro-670,E04,3,21.28 ,13.35 ,23.32 ,21.64 ,14.84 ,18.886 
79,Pro-672,E04,3,14.34 ,7.18 ,13.66 ,14.09 ,9.35 ,11.725 
80,Pro-1203,E04,3,41.41 ,23.88 ,38.88 ,39.20 ,27.18 ,34.110 
81,Pro-1204,E04,3,42.87 ,23.80 ,40.16 ,43.78 ,30.35 ,36.193 
82,Bac-186,E0520,2,174.45 ,NA,431.10 ,254.38 ,434.06 ,323.496 
83,Fir-11,E0520,2,157.72 ,NA,229.48 ,170.24 ,456.04 ,253.368 
84,Act-101,E0520,2,65.90 ,NA,191.67 ,102.65 ,204.58 ,141.201 
85,Act-135,E0520,2,26.84 ,NA,74.85 ,40.07 ,78.23 ,54.995 
86,Act-140,E0520,2,51.30 ,NA,154.78 ,81.64 ,163.75 ,112.870 
87,Pro-670,E0520,2,39.35 ,NA,55.02 ,39.22 ,112.81 ,61.599 
88,Pro-672,E0520,2,24.23 ,NA,35.26 ,25.31 ,72.50 ,39.326 
89,Pro-1203,E0520,2,64.54 ,NA,103.47 ,74.29 ,183.44 ,106.434 
90,Pro-1204,E0520,2,68.67 ,NA,111.42 ,76.39 ,202.19 ,114.667 
91,Bac-186,E0520,1,174.94 ,NA,NA,125.76 ,117.46 ,139.389 
92,Fir-11,E0520,1,193.25 ,NA,NA,88.21 ,104.92 ,128.794 
93,Act-101,E0520,1,85.99 ,NA,NA,56.12 ,53.31 ,65.141 
94,Act-135,E0520,1,31.90 ,NA,NA,18.89 ,18.23 ,23.008 
95,Act-140,E0520,1,70.46 ,NA,NA,56.10 ,46.28 ,57.611 
96,Pro-670,E0520,1,44.06 ,NA,NA,19.98 ,23.95 ,29.332 
97,Pro-672,E0520,1,28.20 ,NA,NA,11.79 ,15.27 ,18.419 
98,Pro-1203,E0520,1,79.94 ,NA,NA,36.43 ,42.78 ,53.048 
99,Pro-1204,E0520,1,82.25 ,NA,NA,40.89 ,49.13 ,57.419 
100,Bac-186,E0520,3,NA,245.52 ,NA,312.85 ,259.58 ,272.648 
101,Fir-11,E0520,3,NA,240.25 ,NA,330.49 ,235.00 ,268.581 
102,Act-101,E0520,3,NA,105.07 ,NA,144.69 ,109.60 ,119.788 
103,Act-135,E0520,3,NA,39.02 ,NA,53.68 ,42.18 ,44.960 
104,Act-140,E0520,3,NA,89.14 ,NA,124.21 ,92.15 ,101.834 
105,Pro-670,E0520,3,NA,31.44 ,NA,43.14 ,31.44 ,35.339 
106,Pro-672,E0520,3,NA,21.51 ,NA,28.80 ,19.46 ,23.257 
107,Pro-1203,E0520,3,NA,54.02 ,NA,80.93 ,50.80 ,61.918 
108,Pro-1204,E0520,3,NA,60.62 ,NA,83.98 ,54.98 ,66.527 
