OTUS,AhMH63_RA,AhMH63_AA,AhWYJ_RA,AhWYJ_AA
OTU_171,0,1.884,0,0
OTU_400,0,1.884,0,0
OTU_363,0,2.613,-0.726,0
OTU_114,0,1.888,0,0
OTU_1093,0,0,0,1.913
OTU_227,0,1.926,0,0
OTU_170,0,1.936,0,0
OTU_39,0,1.939,0,0
OTU_2588,0,1.94,0,0
OTU_665,0,1.953,0,0
OTU_491,0,2.011,0,0
OTU_94,0,2.049,0,0
OTU_247,0,2.083,0,0
OTU_165,0,2.099,0,0
OTU_133,0,2.101,0,0
OTU_564,0,2.665,-0.563,0
OTU_116,0,2.124,0,0
OTU_188,0,2.126,0,0
OTU_199,0,2.154,0,0
OTU_220,0,2.157,0,0
OTU_215,0,2.196,0,0
OTU_121,0,2.215,0,0
OTU_670,0,0,2.223,0
OTU_384,0,2.247,0,0
OTU_219,0,2.301,0,0
OTU_183,0,2.318,0,0
OTU_526,0,2.345,0,0
OTU_36,0,0,1.017,1.353
OTU_635,0,2.385,0,0
OTU_324,0,2.44,0,0
OTU_1134,0,2.478,0,0
OTU_112,0,2.504,0,0
OTU_791,0,2.506,0,0
OTU_454,0,2.523,0,0
OTU_403,0,0,1.098,1.429
OTU_654,0,2.532,0,0
OTU_543,0,2.541,0,0
OTU_64,0,2.561,0,0
OTU_57,0,2.601,0,0
OTU_173,0,2.636,0,0
OTU_67,0,1.746,0,0.905
OTU_230,0,2.714,0,0
OTU_51,0,1.664,0,1.067
OTU_1565,0,2.757,0,0
OTU_235,0,2.782,0,0
OTU_110,0,2.845,0,0
OTU_276,0,1.853,0,1.035
OTU_393,0,2.999,0,0
OTU_1729,0,0,1.322,1.912
OTU_2315,0,3.277,0,0
OTU_286,0,2.299,0,0.979
OTU_694,0,1.563,0,1.784
OTU_27,0,2.038,0,1.322
OTU_147,0,1.556,0.689,1.208
OTU_470,0,3.587,0,0
OTU_751,0,3.588,0,0
OTU_71,0,2.38,0.457,0.782
OTU_124,0.705,2.037,0,0.894
OTU_186,1.153,2.518,0,0
OTU_160,1.085,2.605,0,0
OTU_1906,0,2.826,0,0.939
OTU_1175,0,2.927,0.863,0
OTU_138,1.15,2.688,0,0
OTU_3,0,1.846,0.83,1.252
OTU_16,0,2.079,0.651,1.239
OTU_520,0,2.107,0.794,1.121
OTU_82,1.225,2.891,0,0
OTU_73,1.116,2.004,0,1.173
OTU_60,0,2.307,0,1.994
