,spike,group,sample01,sample02,sample03,sample04,sample05,mean
Bac-186,E05,1,23.9,30.81,26.91,21.97,NA,25.9
Fir-11,E05,1,25.17,16.18,22.27,24.03,NA,21.91
Act-101,E05,1,10.44,15.34,12.57,11.6,NA,12.49
Act-135,E05,1,3.83,4.99,4.23,3.78,NA,4.21
Act-140,E05,1,7.53,13.05,10.16,9.71,NA,10.11
Pro-670,E05,1,5.95,3.39,4.93,5.61,NA,4.97
Pro-672,E05,1,3.3,2.4,2.93,3.49,NA,3.03
Pro-1203,E05,1,9.52,6.71,7.21,9.48,NA,8.23
Pro-1204,E05,1,10.33,7.1,8.78,10.3,NA,9.13
Bac-186,E05-5,1,22.94,NA,27.47,22.12,NA,24.18
Fir-11,E05-5,1,24.59,NA,20.88,24.28,NA,23.25
Act-101,E05-5,1,10.17,NA,12.36,11.42,NA,11.32
Act-135,E05-5,1,3.99,NA,4.05,4.01,NA,4.02
Act-140,E05-5,1,8.66,NA,9.99,9.48,NA,9.38
Pro-670,E05-5,1,5.74,NA,4.99,5.73,NA,5.49
Pro-672,E05-5,1,3.48,NA,3.06,3.56,NA,3.37
Pro-1203,E05-5,1,10.18,NA,8.37,9.64,NA,9.4
Pro-1204,E05-5,1,10.22,NA,8.83,9.75,NA,9.6
Bac-186,E05-10,1,26.59,32.51,28.64,22.96,NA,27.68
Fir-11,E05-10,1,23.78,15.66,20.05,23.65,NA,20.79
Act-101,E05-10,1,11.07,14.76,12.92,11.05,NA,12.45
Act-135,E05-10,1,3.84,5.1,4.17,3.98,NA,4.27
Act-140,E05-10,1,7.3,11.97,10.3,9.27,NA,9.71
Pro-670,E05-10,1,4.96,3.82,4.35,5.42,NA,4.64
Pro-672,E05-10,1,3.28,2.19,2.57,3.41,NA,2.86
Pro-1203,E05-10,1,9.47,6.73,8.37,9.96,NA,8.63
Pro-1204,E05-10,1,9.67,7.25,8.61,10.28,NA,8.95
Bac-186,E00,1,25.81,30.87,28.69,22.45,NA,26.96
Fir-11,E00,1,22.87,17.19,19.85,23.77,NA,20.92
Act-101,E00,1,10.64,14.33,12.16,11.22,NA,12.09
Act-135,E00,1,3.68,4.73,4.34,3.57,NA,4.08
Act-140,E00,1,7.85,11.29,9.84,8.64,NA,9.41
Pro-670,E00,1,5.71,4.04,5.02,6,NA,5.19
Pro-672,E00,1,3.31,2.4,3.05,4,NA,3.19
Pro-1203,E00,1,10,7.46,8.29,9.82,NA,8.89
Pro-1204,E00,1,10.11,7.68,8.73,10.51,NA,9.26
Bac-186,E05,2,20.11,25.66,23.04,NA,NA,22.94
Fir-11,E05,2,26.21,20.86,24.09,NA,NA,23.72
Act-101,E05,2,11.09,13.03,11.97,NA,NA,12.03
Act-135,E05,2,3.72,4.39,4.56,NA,NA,4.22
Act-140,E05,2,9.43,12.23,9.82,NA,NA,10.49
Pro-670,E05,2,5.47,4.29,4.93,NA,NA,4.9
Pro-672,E05,2,3.1,2.26,3.07,NA,NA,2.81
Pro-1203,E05,2,10.39,8.92,8.58,NA,NA,9.3
Pro-1204,E05,2,10.47,8.3,9.92,NA,NA,9.57
Bac-186,E05-5,2,20.79,25.66,22.37,NA,NA,22.94
Fir-11,E05-5,2,25.78,20.85,22.45,NA,NA,23.03
Act-101,E05-5,2,10.95,12.51,12.08,NA,NA,11.85
Act-135,E05-5,2,3.82,4.49,3.9,NA,NA,4.07
Act-140,E05-5,2,9.61,12.69,10.86,NA,NA,11.05
Pro-670,E05-5,2,5.34,4.3,5.41,NA,NA,5.02
Pro-672,E05-5,2,3.58,2.58,3.01,NA,NA,3.06
Pro-1203,E05-5,2,9.9,8.16,9.75,NA,NA,9.27
Pro-1204,E05-5,2,10.21,8.74,10.15,NA,NA,9.7
Bac-186,E05-10,2,21.32,28.11,25.23,NA,NA,24.89
Fir-11,E05-10,2,25.07,18.36,22.71,NA,NA,22.05
Act-101,E05-10,2,11.54,13.5,11.99,NA,NA,12.34
Act-135,E05-10,2,3.74,4.29,4.1,NA,NA,4.04
Act-140,E05-10,2,9.15,11.64,9.49,NA,NA,10.09
Pro-670,E05-10,2,5.32,4.31,4.89,NA,NA,4.84
Pro-672,E05-10,2,3.25,2.81,3.12,NA,NA,3.06
Pro-1203,E05-10,2,10.18,8.11,9.02,NA,NA,9.1
Pro-1204,E05-10,2,10.42,8.84,9.45,NA,NA,9.57
Bac-186,E00,2,21.57,27.33,24.34,NA,NA,24.41
Fir-11,E00,2,25.16,19.93,22.83,NA,NA,22.64
Act-101,E00,2,10.91,12.63,11.31,NA,NA,11.62
Act-135,E00,2,3.5,4.46,4.09,NA,NA,4.02
Act-140,E00,2,8.73,11.01,9.29,NA,NA,9.68
Pro-670,E00,2,5.65,5,5.53,NA,NA,5.39
Pro-672,E00,2,3.67,2.57,3.39,NA,NA,3.21
Pro-1203,E00,2,10.28,8.32,9.2,NA,NA,9.26
Pro-1204,E00,2,10.53,8.74,10,NA,NA,9.75
Bac-186,E05,3,23.71,25.58,26,25.59,27.25,25.63
Fir-11,E05,3,31.16,29.6,27.83,27.61,26.01,28.44
Act-101,E05,3,11.91,12.47,13.36,12.81,13.65,12.84
Act-135,E05,3,4,4.32,4.57,4.19,4.78,4.37
Act-140,E05,3,9.94,9.82,10.21,10.66,11.06,10.34
Pro-670,E05,3,3.6,3.12,3.92,3.91,3.48,3.6
Pro-672,E05,3,2.43,2.23,1.51,1.95,1.67,1.96
Pro-1203,E05,3,6.42,6.66,6.09,6.54,6.02,6.35
Pro-1204,E05,3,6.81,6.18,6.5,6.72,6.07,6.46
Bac-186,E05-5,3,21.42,25.17,25.44,26.13,27.84,25.2
Fir-11,E05-5,3,30.31,27.33,28.51,28.7,26.84,28.34
Act-101,E05-5,3,12.08,12.86,12.72,11.57,12.11,12.27
Act-135,E05-5,3,3.8,4.64,4.53,4.07,4.18,4.25
Act-140,E05-5,3,10.04,10.25,10.69,10.73,11.03,10.55
Pro-670,E05-5,3,4.34,3.99,3.48,3.37,3.37,3.71
