,spike,group,sample01,sample02,sample03,sample04,sample05,mean
Asco-AF1,E05-20,1,4.477865373,4.395558223,4.24916388,4.321859903,NA,4.361111845
Asco-AF105,E05-20,1,6.921164342,6.956182473,6.348940914,7.239130435,NA,6.866354541
Basi-AF78,E05-20,1,5.567616737,5.431572629,4.91638796,5.329710145,NA,5.311321868
Asco-AF1,E05-20,2,2.838993208,2.664634146,3.099915683,NA,NA,2.867847679
Asco-AF105,E05-20,2,4.558529764,4.387957317,4.970489039,NA,NA,4.63899204
Basi-AF78,E05-20,2,3.439073112,3.238185976,3.41989882,NA,NA,3.365719302
Asco-AF1,E05-20,3,3.230730223,3.402617801,2.596273292,2.806306306,2.833479789,2.973881482
Asco-AF105,E05-20,3,5.378803245,5.515706806,4.207039337,4.631081081,4.503514938,4.847229082
Basi-AF78,E05-20,3,5.414300203,5.593193717,4.464596273,4.908108108,4.680140598,5.01206778
