ID,fungi,spike,group,sample01,sample02,sample03,sample04,sample05,mean
1,Asco-AF1,E0520,2,4.478,NA,4.396,4.249,4.322,4.361
2,Asco-AF105,E0520,2,6.921,NA,6.956,6.349,7.239,6.866
3,Basi-AF78,E0520,2,5.568,NA,5.432,4.916,5.330,5.311
4,Asco-AF1,E0520,1,2.839,NA,NA,2.665,3.100,2.868
5,Asco-AF105,E0520,1,4.559,NA,NA,4.388,4.970,4.639
6,Basi-AF78,E0520,1,3.439,NA,NA,3.238,3.420,3.366
7,Asco-AF1,E0520,3,3.231,3.403,2.596,2.806,2.833,2.974
8,Asco-AF105,E0520,3,5.379,5.516,4.207,4.631,4.504,4.847
9,Basi-AF78,E0520,3,5.414,5.593,4.465,4.908,4.680,5.012
10,Asco-AF1,E04,2,2.764,NA,2.771,2.905,2.607,2.762
11,Asco-AF105,E04,2,4.498,NA,4.497,4.486,4.514,4.499
12,Basi-AF78,E04,2,3.261,NA,3.264,3.227,3.191,3.236
13,Asco-AF1,E04,1,1.841,NA,NA,1.766,1.861,1.823
14,Asco-AF105,E04,1,3.050,NA,NA,3.047,3.108,3.068
15,Basi-AF78,E04,1,2.097,NA,NA,2.049,1.985,2.044
16,Asco-AF1,E04,3,1.966,2.133,1.848,1.809,1.859,1.923
17,Asco-AF105,E04,3,3.352,3.562,3.005,3.061,3.105,3.217
18,Basi-AF78,E04,3,3.286,3.362,3.050,3.044,3.066,3.161
19,Asco-AF1,E55,2,1.785,NA,1.768,1.930,1.762,1.811
20,Asco-AF105,E55,2,2.846,NA,2.928,2.951,2.972,2.924
21,Basi-AF78,E55,2,2.106,NA,2.044,2.090,2.050,2.072
22,Asco-AF1,E55,1,1.287,NA,NA,1.212,1.323,1.274
23,Asco-AF105,E55,1,2.112,NA,NA,1.964,2.114,2.064
24,Basi-AF78,E55,1,1.452,NA,NA,1.391,1.402,1.415
25,Asco-AF1,E55,3,1.316,1.407,1.203,1.210,1.361,1.299
26,Asco-AF105,E55,3,2.286,2.320,2.016,2.013,2.301,2.187
27,Basi-AF78,E55,3,2.244,2.237,2.033,2.059,2.200,2.155
28,Asco-AF1,E05,2,0.623,NA,0.658,0.722,0.643,0.662
29,Asco-AF105,E05,2,1.068,NA,1.116,1.144,1.143,1.118
30,Basi-AF78,E05,2,0.677,NA,0.751,0.778,0.749,0.739
31,Asco-AF1,E05,1,0.514,NA,NA,0.475,0.554,0.515
32,Asco-AF105,E05,1,0.877,NA,NA,0.835,0.928,0.880
33,Basi-AF78,E05,1,0.520,NA,NA,0.513,0.546,0.526
34,Asco-AF1,E05,3,0.522,0.583,0.501,0.473,0.509,0.518
35,Asco-AF105,E05,3,0.919,0.995,0.860,0.835,0.872,0.896
36,Basi-AF78,E05,3,0.849,0.908,0.830,0.819,0.811,0.843
