HNWYJ,RAlogFC,AAlogFC
OTU_592,-0.733,1.27
OTU_638,0.093,2.56
OTU_67,2.333,4.471
OTU_675,0.274,2.364
OTU_680,-0.267,1.929
OTU_694,2.198,3.933
OTU_77,0.016,2.249
OTU_775,-0.199,1.681
OTU_78,-0.392,1.128
OTU_826,0.526,3.027
OTU_83,0.981,2.852
OTU_931,0.998,2.704
OTU_101,4.319,6.062
OTU_102,7.931,9.078
OTU_107,4.165,5.75
OTU_118,3.892,5.882
OTU_122,0.928,3.088
OTU_132,4.147,5.3
OTU_14,2.307,4.707
OTU_141,2.913,5.682
OTU_153,3.586,5.559
OTU_17,1.755,3.903
OTU_18,3.903,5.668
OTU_19,3.348,5.394
OTU_21,2.902,5.05
OTU_210,1.446,3.566
OTU_213,1.691,3.705
OTU_222,1.316,3.167
OTU_231,1.581,3.796
OTU_266,3.555,4.325
OTU_29,1.956,4.244
OTU_37,4.323,6.405
OTU_373,1.086,3.29
OTU_4,3.762,6.194
OTU_41,0.881,3.088
OTU_51,1.61,3.795
OTU_55,1.828,4.005
OTU_574,1.258,3.455
OTU_6,4.484,6.508
OTU_60,2.086,4.569
OTU_64,1.866,4.177
OTU_65,1.977,3.88
OTU_670,1.59,3.488
OTU_69,3.383,5.462
OTU_7,4.001,6.255
OTU_81,4.255,6.332
OTU_87,3.963,5.923
